MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
100.00,29.00,37.00,66.00,2.60,0.74,0.23,0.25,0.17,-191.00,-90.00,-6.10,7.70,0.25,398.00,0.26,234.00,0.22,0.56,0.26,0.21
200.00,143.00,111.00,172.00,2.80,0.69,0.31,0.21,0.19,-13.00,-102.00,1.20,9.20,0.33,494.00,0.29,289.00,0.28,0.42,0.12,0.49
100.00,72.00,45.00,98.00,3.80,0.64,0.27,0.15,0.12,-274.00,-171.00,-8.90,9.30,0.31,402.00,0.23,282.00,0.26,0.45,0.15,0.35
900.00,128.00,137.00,196.00,2.40,0.66,0.26,0.28,0.30,26.00,-13.00,4.20,8.70,0.27,511.00,0.29,279.00,0.25,0.40,0.13,0.25
300.00,59.00,76.00,144.00,2.70,0.73,0.21,0.21,0.21,52.00,-20.00,0.00,5.60,0.16,219.00,0.13,185.00,0.18,0.77,0.36,0.71
200.00,25.00,30.00,94.00,4.00,0.79,0.17,0.19,0.47,-103.00,-125.00,-0.80,5.00,0.14,196.00,0.12,168.00,0.16,0.65,0.44,0.51
300.00,120.00,84.00,319.00,5.20,0.72,0.20,0.20,0.28,35.00,162.00,2.20,5.60,0.15,269.00,0.14,203.00,0.18,0.45,0.29,0.49
600.00,103.00,82.00,225.00,4.00,0.60,0.19,0.24,0.23,131.00,85.00,2.50,8.10,0.24,366.00,0.22,249.00,0.22,0.48,0.21,0.20
100.00,82.00,49.00,93.00,3.60,0.76,0.36,0.16,0.08,10.00,-62.00,3.10,9.80,0.34,460.00,0.28,291.00,0.28,0.48,0.23,0.46
300.00,171.00,52.00,193.00,7.00,0.67,0.32,0.15,0.25,92.00,28.00,-2.80,9.60,0.33,537.00,0.31,313.00,0.28,0.55,0.20,0.52
100.00,12.00,127.00,284.00,2.30,0.71,0.03,0.22,0.26,-37.00,-43.00,-2.20,1.00,0.02,129.00,0.07,88.00,0.09,1.64,0.50,0.35
400.00,126.00,71.00,220.00,4.90,0.70,0.26,0.15,0.23,26.00,7.00,2.70,8.70,0.25,467.00,0.26,266.00,0.24,0.54,0.24,0.23
200.00,58.00,82.00,144.00,2.50,0.53,0.15,0.23,0.10,-109.00,-60.00,-1.50,7.90,0.24,353.00,0.21,230.00,0.21,0.52,0.24,0.19
100.00,68.00,78.00,208.00,3.50,0.73,0.18,0.18,0.39,-231.00,-150.00,-2.10,5.00,0.15,253.00,0.14,176.00,0.17,0.86,0.40,0.72
500.00,64.00,93.00,128.00,2.10,0.64,0.21,0.26,0.28,95.00,126.00,5.20,8.20,0.25,431.00,0.27,240.00,0.23,0.50,0.22,0.29
100.00,43.00,73.00,104.00,2.00,0.58,0.17,0.25,0.25,-152.00,-169.00,-11.90,7.30,0.23,312.00,0.21,209.00,0.21,0.48,0.18,0.23
200.00,75.00,91.00,205.00,3.10,0.70,0.19,0.19,0.42,45.00,-56.00,-2.60,5.10,0.14,201.00,0.13,166.00,0.17,0.74,0.43,0.49
700.00,183.00,54.00,202.00,7.10,0.74,0.35,0.16,0.14,68.00,-44.00,7.60,10.70,0.36,550.00,0.32,334.00,0.29,0.47,0.13,0.39
200.00,88.00,87.00,167.00,2.90,0.69,0.24,0.18,0.23,-53.00,-33.00,-1.80,8.70,0.27,450.00,0.27,244.00,0.24,0.59,0.32,0.23
300.00,24.00,94.00,304.00,3.50,0.75,0.06,0.23,0.33,111.00,54.00,3.50,1.50,0.04,140.00,0.08,107.00,0.10,1.48,0.50,0.31
600.00,95.00,92.00,179.00,3.00,0.69,0.24,0.19,0.36,-50.00,-57.00,-1.60,8.40,0.25,383.00,0.25,235.00,0.24,0.48,0.23,0.30
600.00,141.00,73.00,147.00,3.90,0.72,0.35,0.15,0.22,92.00,145.00,8.50,9.90,0.35,509.00,0.32,293.00,0.29,0.47,0.19,0.40
100.00,91.00,70.00,150.00,3.40,0.71,0.27,0.16,0.29,-266.00,-157.00,-12.50,8.40,0.30,433.00,0.25,254.00,0.25,0.52,0.22,0.40
