MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
200.00,69.00,144.00,163.00,1.60,0.60,0.18,0.28,0.12,-227.00,-252.00,-8.20,7.90,0.25,409.00,0.23,226.00,0.21,0.61,0.17,0.18
300.00,64.00,65.00,185.00,3.80,0.65,0.17,0.20,0.35,53.00,121.00,5.00,5.20,0.15,255.00,0.13,218.00,0.18,0.87,0.26,0.36
500.00,125.00,63.00,181.00,4.90,0.68,0.28,0.14,0.29,77.00,90.00,3.10,9.80,0.30,550.00,0.29,301.00,0.25,0.43,0.06,0.21
1300.00,188.00,42.00,287.00,11.30,0.78,0.31,0.10,0.25,159.00,128.00,2.70,9.00,0.26,511.00,0.25,291.00,0.24,0.50,0.09,0.14
100.00,75.00,116.00,216.00,2.50,0.75,0.19,0.22,0.29,-68.00,91.00,6.60,4.60,0.13,237.00,0.14,192.00,0.18,0.91,0.26,0.39
400.00,45.00,38.00,111.00,4.10,0.69,0.20,0.21,0.29,132.00,-34.00,-4.90,4.30,0.12,250.00,0.13,221.00,0.18,0.98,0.28,0.45
200.00,68.00,114.00,165.00,2.00,0.63,0.18,0.24,0.24,-104.00,-108.00,-3.30,4.30,0.13,209.00,0.13,184.00,0.18,0.89,0.26,0.35
400.00,108.00,109.00,151.00,2.40,0.71,0.30,0.23,0.12,-58.00,-34.00,0.70,9.60,0.29,450.00,0.28,273.00,0.26,0.46,0.15,0.21
400.00,24.00,66.00,295.00,4.80,0.73,0.06,0.17,0.20,-13.00,30.00,0.70,1.30,0.04,188.00,0.10,145.00,0.12,1.32,0.37,0.48
300.00,78.00,88.00,149.00,2.60,0.61,0.21,0.19,0.16,101.00,101.00,5.60,8.30,0.26,408.00,0.25,231.00,0.22,0.59,0.13,0.14
900.00,113.00,89.00,179.00,3.30,0.67,0.26,0.23,0.25,14.00,-4.00,1.60,9.10,0.26,511.00,0.27,276.00,0.23,0.48,0.17,0.26
900.00,103.00,77.00,164.00,3.50,0.61,0.24,0.20,0.23,-3.00,-129.00,-2.50,8.80,0.26,422.00,0.22,263.00,0.22,0.56,0.13,0.16
500.00,105.00,86.00,288.00,4.60,0.65,0.17,0.21,0.45,-8.00,-146.00,-4.30,4.10,0.12,303.00,0.15,211.00,0.17,0.91,0.21,0.50
300.00,160.00,72.00,255.00,5.80,0.64,0.25,0.18,0.19,180.00,125.00,4.90,9.60,0.30,585.00,0.29,303.00,0.25,0.49,0.15,0.33
100.00,98.00,83.00,133.00,2.80,0.64,0.27,0.17,0.07,-251.00,-131.00,-5.20,9.10,0.29,427.00,0.27,261.00,0.25,0.39,0.12,0.28
0.00,14.00,81.00,148.00,2.00,0.61,0.05,0.23,0.10,-119.00,-77.00,2.80,1.30,0.04,123.00,0.08,117.00,0.11,1.42,0.45,0.33
800.00,120.00,86.00,174.00,3.40,0.65,0.27,0.19,0.17,48.00,84.00,4.10,9.50,0.27,503.00,0.27,292.00,0.24,0.32,0.10,0.26
400.00,115.00,89.00,137.00,2.80,0.68,0.31,0.19,0.18,-32.00,-45.00,-1.30,9.40,0.30,467.00,0.27,267.00,0.25,0.45,0.17,0.27
700.00,47.00,98.00,361.00,4.20,0.67,0.08,0.24,0.25,75.00,105.00,1.00,1.10,0.04,209.00,0.10,143.00,0.12,1.40,0.38,0.38
0.00,7.00,31.00,58.00,2.10,0.68,0.07,0.23,0.17,-179.00,-325.00,-0.20,0.90,0.03,134.00,0.09,109.00,0.10,1.32,0.44,0.36
0.00,25.00,55.00,101.00,2.30,0.63,0.13,0.21,0.33,-267.00,-258.00,-10.10,7.40,0.23,330.00,0.20,214.00,0.20,0.57,0.18,0.11
200.00,34.00,55.00,49.00,1.50,0.56,0.23,0.26,0.06,-203.00,-117.00,-1.80,9.00,0.28,477.00,0.26,261.00,0.23,0.46,0.06,0.11
200.00,106.00,90.00,175.00,3.10,0.72,0.27,0.17,0.10,-165.00,-90.00,-3.20,8.70,0.27,518.00,0.28,256.00,0.24,0.46,0.14,0.30
300.00,45.00,49.00,87.00,2.70,0.66,0.23,0.23,0.24,147.00,277.00,5.30,8.20,0.25,419.00,0.24,246.00,0.22,0.58,0.18,0.11
500.00,25.00,120.00,307.00,2.80,0.79,0.06,0.22,0.23,76.00,-36.00,1.00,1.30,0.04,147.00,0.09,133.00,0.12,1.47,0.37,0.47
500.00,136.00,96.00,255.00,4.10,0.65,0.23,0.25,0.23,116.00,49.00,1.30,9.10,0.29,516.00,0.25,289.00,0.23,0.57,0.13,0.14
300.00,37.00,41.00,63.00,2.40,0.61,0.23,0.19,0.15,-84.00,13.00,-1.60,8.70,0.26,378.00,0.25,243.00,0.23,0.54,0.12,0.17
300.00,153.00,75.00,193.00,4.60,0.65,0.29,0.15,0.06,-120.00,-53.00,-3.10,9.90,0.31,527.00,0.27,303.00,0.26,0.46,0.10,0.36
1300.00,155.00,93.00,231.00,4.20,0.73,0.29,0.18,0.23,-103.00,-47.00,-4.90,8.50,0.25,541.00,0.28,266.00,0.23,0.53,0.13,0.29
400.00,86.00,76.00,192.00,3.70,0.68,0.21,0.17,0.31,182.00,161.00,6.50,9.00,0.26,495.00,0.26,265.00,0.23,0.55,0.16,0.27
100.00,56.00,49.00,77.00,2.70,0.75,0.32,0.21,0.19,-143.00,-230.00,-4.60,8.60,0.26,494.00,0.29,252.00,0.24,0.56,0.13,0.18
200.00,60.00,93.00,154.00,2.30,0.65,0.18,0.23,0.21,-213.00,-131.00,-5.90,7.90,0.25,340.00,0.20,229.00,0.21,0.56,0.11,0.09
200.00,106.00,80.00,164.00,3.40,0.70,0.27,0.15,0.19,-57.00,-108.00,-2.80,9.50,0.31,490.00,0.26,275.00,0.25,0.35,0.09,0.32
300.00,72.00,74.00,167.00,3.20,0.69,0.21,0.17,0.38,-57.00,14.00,-0.20,4.60,0.14,238.00,0.15,192.00,0.18,1.05,0.34,0.37
300.00,94.00,116.00,227.00,2.80,0.61,0.18,0.23,0.27,50.00,119.00,3.30,9.00,0.28,415.00,0.22,264.00,0.22,0.50,0.05,0.11
300.00,32.00,88.00,407.00,5.00,0.67,0.05,0.22,0.19,10.00,-5.00,-1.10,0.90,0.03,156.00,0.08,137.00,0.11,1.63,0.48,0.43
600.00,32.00,94.00,264.00,3.10,0.76,0.08,0.18,0.21,53.00,104.00,-1.60,1.20,0.04,156.00,0.09,138.00,0.13,1.20,0.24,0.35
200.00,58.00,64.00,110.00,2.60,0.70,0.24,0.22,0.18,-131.00,-163.00,-3.30,8.90,0.27,493.00,0.28,266.00,0.24,0.56,0.12,0.20
0.00,37.00,46.00,106.00,3.10,0.73,0.19,0.17,0.40,-203.00,-190.00,-5.60,4.30,0.13,244.00,0.15,186.00,0.18,0.91,0.23,0.34
800.00,161.00,74.00,282.00,6.00,0.68,0.25,0.18,0.17,85.00,75.00,-1.70,8.70,0.26,474.00,0.24,279.00,0.23,0.57,0.16,0.21
100.00,41.00,53.00,107.00,2.80,0.66,0.18,0.20,0.29,-36.00,96.00,2.80,4.80,0.14,203.00,0.12,209.00,0.18,0.83,0.15,0.36
100.00,132.00,84.00,259.00,4.70,0.64,0.22,0.21,0.25,143.00,35.00,3.10,9.50,0.29,519.00,0.25,298.00,0.24,0.44,0.08,0.28
400.00,119.00,80.00,190.00,3.90,0.71,0.27,0.21,0.16,100.00,83.00,3.80,9.80,0.29,549.00,0.28,298.00,0.25,0.43,0.17,0.34
500.00,135.00,76.00,181.00,4.20,0.75,0.32,0.14,0.16,-24.00,-34.00,-2.50,9.70,0.32,530.00,0.30,288.00,0.26,0.35,0.10,0.25
600.00,140.00,66.00,327.00,7.10,0.72,0.22,0.16,0.53,302.00,134.00,2.80,4.60,0.14,290.00,0.15,228.00,0.19,0.80,0.25,0.43
100.00,33.00,51.00,139.00,3.40,0.76,0.15,0.19,0.33,-245.00,-275.00,-2.00,4.10,0.12,227.00,0.13,188.00,0.17,0.92,0.29,0.41
100.00,14.00,37.00,35.00,1.30,0.55,0.16,0.29,0.18,-207.00,-187.00,-6.10,8.60,0.27,322.00,0.18,237.00,0.22,0.48,0.06,0.11
1100.00,158.00,108.00,301.00,4.30,0.71,0.24,0.27,0.38,310.00,180.00,5.70,8.80,0.27,480.00,0.24,277.00,0.23,0.53,0.12,0.14
400.00,20.00,112.00,269.00,2.60,0.71,0.05,0.25,0.19,-22.00,-51.00,-0.60,1.10,0.04,164.00,0.09,138.00,0.12,1.39,0.45,0.36
100.00,41.00,44.00,100.00,3.20,0.68,0.20,0.18,0.24,108.00,201.00,7.70,8.70,0.27,416.00,0.22,260.00,0.22,0.58,0.16,0.13
200.00,89.00,108.00,251.00,3.10,0.72,0.19,0.24,0.50,-20.00,64.00,0.10,4.40,0.12,274.00,0.14,206.00,0.18,1.00,0.35,0.48
200.00,119.00,79.00,161.00,3.50,0.69,0.29,0.17,0.17,-33.00,27.00,-0.10,10.10,0.33,521.00,0.28,299.00,0.26,0.42,0.11,0.29
400.00,95.00,86.00,157.00,2.90,0.68,0.26,0.18,0.16,-26.00,-72.00,-0.90,9.00,0.28,478.00,0.28,251.00,0.24,0.51,0.16,0.16
0.00,14.00,90.00,227.00,2.70,0.65,0.04,0.19,0.16,26.00,1.00,-0.30,1.20,0.04,123.00,0.08,119.00,0.11,1.42,0.38,0.36
500.00,33.00,109.00,346.00,3.50,0.72,0.06,0.21,0.15,-12.00,16.00,-1.00,1.20,0.04,182.00,0.09,142.00,0.12,1.54,0.39,0.38
