"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",46,"52%","54%",176,67,179,5.3,"81.4%","40.4%","16.1%","24%",119,128,-0.8,9.8,"35.0%",578,"33.8%",,315,"29.8%",,0.5,0.14,0.51
"Bdd","Gen.G","Middle",44,"70%","55%",148,60,256,6.7,"74.4%","27.3%","17.6%","39%",148,14,1.3,8.3,"23.9%",465,"27.0%",,260,"23.2%",,0.55,0.26,0.23
"Ben","Kwangdong Freecs","Support",2,"0%","100%",0,9,6,0.7,"33.3%","0.0%","26.5%","0%",-223,-234,-3.5,0.7,"2.0%",193,"12.7%",,66,"7.4%",,1.38,0.47,0.22
"BeryL","Dplus KIA","Support",30,"57%","40%",21,74,241,3.5,"68.9%","5.5%","22.4%","23%",39,49,8.2,2,"5.9%",157,"8.5%",,118,"10.2%",,1.52,0.5,0.41
"bonO","KT Rolster","Jungle",41,"59%","39%",55,79,271,4.1,"78.9%","13.3%","22.3%","37%",82,71,2.7,5.2,"14.1%",213,"12.6%",,179,"16.5%",,0.6,0.43,0.5
"Canna","T1","Top",40,"70%","58%",92,53,235,6.2,"69.1%","19.5%","18.3%","25%",-13,55,-2.9,7.7,"22.1%",379,"21.7%",,243,"21.5%",,0.46,0.17,0.18
"Canyon","Dplus KIA","Jungle",43,"51%","51%",64,100,269,3.3,"67.4%","13.0%","20.4%","42%",-148,-119,0.1,5.3,"14.0%",217,"11.8%",,179,"16.0%",,0.66,0.4,0.5
"Chovy","DRX","Middle",43,"67%","47%",143,65,220,5.6,"64.1%","25.3%","16.0%","12%",87,182,9.2,9.3,"26.5%",555,"28.8%",,280,"24.2%",,0.52,0.22,0.37
"Chovy","DRX","Top",3,"67%","33%",4,3,11,5,"37.5%","10.0%","13.0%","0%",274,250,15.3,9.7,"29.4%",467,"25.7%",,280,"24.9%",,0.5,0.18,0.46
"Clid","Gen.G","Jungle",44,"70%","55%",98,78,298,5.1,"72.9%","18.0%","22.9%","61%",207,73,-0.3,5.4,"15.5%",227,"13.1%",,197,"17.6%",,0.67,0.36,0.59
"Cover","SeolHaeOne Prince","Middle",25,"52%","56%",55,75,124,2.4,"57.6%","17.7%","21.0%","8%",36,-4,2.4,8.6,"26.2%",474,"25.3%",,256,"23.9%",,0.33,0.19,0.26
"CuVee","Hanwha Life Esports","Top",45,"38%","51%",93,139,168,1.9,"62.1%","22.1%","24.0%","18%",69,-15,1.2,7.5,"22.9%",415,"24.1%",,229,"22.6%",,0.52,0.25,0.22
"Cuzz","T1","Jungle",35,"69%","43%",53,49,245,6.1,"74.3%","13.2%","18.0%","37%",35,31,0.7,5.4,"13.8%",261,"14.9%",,180,"16.0%",,0.84,0.37,0.58
"Deft","DRX","ADC",46,"67%","43%",196,80,225,5.3,"69.5%","32.3%","18.7%","17%",237,223,9.3,9.8,"31.1%",571,"28.8%",,316,"27.2%",,0.49,0.18,0.35
"Doran","DRX","Top",43,"67%","56%",96,96,238,3.5,"59.0%","17.0%","23.7%","19%",27,25,0.7,8.2,"24.1%",395,"19.8%",,249,"21.5%",,0.5,0.19,0.16
"Dove","Liiv SANDBOX","Middle",37,"41%","46%",80,71,143,3.1,"63.5%","22.8%","17.9%","14%",-49,-52,-1.2,8.4,"24.3%",407,"25.8%",,244,"23.8%",,0.5,0.22,0.25
"Dread","Kwangdong Freecs","Jungle",13,"31%","46%",17,37,62,2.1,"69.3%","14.9%","21.8%","62%",87,130,-1.5,4.7,"13.9%",185,"11.2%",,156,"15.7%",,0.73,0.38,0.5
"Effort","T1","Support",44,"68%","59%",37,101,326,3.6,"69.8%","7.1%","29.1%","25%",-115,2,-6.4,1.2,"2.9%",106,"6.3%",,102,"9.0%",,1.79,0.52,0.41
"Ellim","T1","Jungle",9,"67%","56%",15,15,80,6.3,"79.8%","12.6%","20.0%","33%",56,113,2,5.1,"13.6%",192,"11.6%",,192,"17.3%",,0.54,0.43,0.42
"Faker","T1","Middle",44,"68%","52%",127,62,219,5.6,"66.5%","24.4%","17.9%","20%",80,-41,-1.2,8.9,"25.4%",462,"26.6%",,270,"23.8%",,0.52,0.22,0.29
"FATE","Liiv SANDBOX","Middle",7,"14%","29%",20,17,36,3.3,"70.9%","25.3%","14.8%","14%",-1,131,3,8.4,"24.6%",552,"31.2%",,253,"24.4%",,0.53,0.29,0.17
"Flawless","SeolHaeOne Prince","Jungle",43,"40%","30%",91,130,234,2.5,"69.0%","19.3%","20.8%","35%",-100,-66,-0.5,5.1,"15.3%",227,"12.4%",,180,"17.7%",,0.71,0.45,0.59
"Fly","Kwangdong Freecs","Middle",33,"39%","42%",69,83,167,2.8,"66.9%","19.5%","18.8%","21%",-284,-249,-10,7.2,"22.0%",377,"21.4%",,210,"21.0%",,0.48,0.24,0.23
"Ghost","Dplus KIA","ADC",17,"65%","47%",77,34,83,4.7,"69.6%","33.5%","18.8%","24%",-82,-60,-14.1,9,"28.2%",514,"26.7%",,310,"25.7%",,0.63,0.22,0.41
"GorillA","Liiv SANDBOX","Support",38,"39%","53%",17,89,245,2.9,"70.6%","4.6%","21.8%","13%",-75,34,-0.8,1.1,"2.4%",125,"7.8%",,88,"8.4%",,1.55,0.5,0.21
"Haru","Hanwha Life Esports","Jungle",45,"38%","64%",87,120,228,2.6,"75.0%","20.7%","20.7%","33%",25,78,0.7,5.6,"16.7%",233,"13.6%",,188,"18.8%",,0.67,0.42,0.45
"Hoit","Dplus KIA","Support",13,"38%","31%",6,28,70,2.7,"66.7%","5.3%","17.7%","31%",33,53,-0.6,1.1,"2.8%",159,"9.2%",,93,"8.5%",,1.62,0.49,0.48
"HOYA","Griffin","Top",8,"13%","50%",17,21,15,1.5,"50.0%","26.6%","20.2%","25%",-165,-21,-6,7.5,"23.9%",348,"23.5%",,207,"22.9%",,0.49,0.19,0.12
"HyBriD","SeolHaeOne Prince","ADC",37,"43%","59%",181,85,123,3.6,"71.0%","42.3%","15.9%","22%",-128,-121,-4.6,10,"36.1%",616,"32.5%",,323,"30.4%",,0.35,0.08,0.43
"ikssu","SeolHaeOne Prince","Top",43,"40%","44%",84,139,212,2.1,"62.8%","17.8%","22.3%","23%",-86,-62,-2.7,6.8,"21.0%",422,"23.0%",,205,"20.2%",,0.46,0.15,0.15
"Jelly","Kwangdong Freecs","Support",44,"43%","45%",41,121,282,2.7,"68.4%","8.7%","21.6%","18%",-7,84,0.2,1.2,"3.4%",156,"9.1%",,99,"9.6%",,1.47,0.49,0.31
"Joker","Liiv SANDBOX","Support",6,"17%","17%",2,18,30,1.8,"54.2%","3.4%","17.5%","0%",-14,-144,2,1.1,"2.7%",106,"6.8%",,84,"8.1%",,1.91,0.53,0.4
"Kabbie","Griffin","Support",45,"36%","44%",18,114,245,2.3,"65.9%","4.5%","23.6%","29%",-19,-114,-2.5,1.3,"3.4%",113,"7.6%",,86,"8.7%",,1.76,0.56,0.34
"Keine","SeolHaeOne Prince","Middle",18,"22%","50%",31,41,61,2.2,"57.5%","19.4%","15.4%","17%",17,13,1.7,8.4,"26.1%",434,"26.2%",,226,"24.0%",,0.61,0.31,0.23
"Kellin","Gen.G","Support",14,"64%","29%",2,19,85,4.6,"68.0%","1.6%","19.8%","36%",-1,-15,0.4,0.8,"1.7%",72,"5.0%",,85,"7.8%",,1.63,0.49,0.25
"Keria","DRX","Support",46,"67%","76%",32,95,420,4.8,"74.6%","5.3%","22.2%","26%",74,-45,-2.5,1.2,"3.1%",181,"8.7%",,110,"9.4%",,1.65,0.6,0.42
"Kiin","Kwangdong Freecs","Top",46,"41%","41%",98,129,219,2.5,"64.7%","20.0%","21.7%","35%",171,101,7.2,8.2,"26.3%",471,"27.6%",,249,"24.5%",,0.57,0.26,0.23
"Kuro","KT Rolster","Middle",46,"52%","61%",104,67,211,4.7,"72.2%","23.9%","16.1%","24%",35,170,0.8,8.2,"23.2%",431,"25.2%",,237,"22.3%",,0.57,0.26,0.29
"Lava","Hanwha Life Esports","ADC",5,"60%","80%",12,9,15,3,"65.9%","29.3%","18.0%","20%",-496,-53,-19.8,7.8,"25.7%",412,"26.2%",,256,"24.1%",,0.54,0.17,0.5
"Lava","Hanwha Life Esports","Middle",6,"33%","17%",18,14,14,2.3,"66.7%","37.5%","15.7%","0%",10,59,-3.5,8.3,"27.0%",527,"29.9%",,241,"25.7%",,0.42,0.19,0.31
"Lehends","Hanwha Life Esports","Support",45,"38%","40%",27,124,305,2.7,"79.0%","6.4%","21.4%","24%",-64,-13,-0.3,1.5,"4.3%",165,"10.1%",,97,"9.6%",,1.49,0.5,0.36
"Leo","Liiv SANDBOX","ADC",19,"42%","37%",52,32,79,4.1,"65.8%","26.1%","16.2%","16%",-49,-57,-2.5,9.7,"32.2%",411,"24.0%",,278,"26.7%",,0.58,0.19,0.52
"Life","Gen.G","Support",30,"73%","53%",21,50,256,5.5,"66.7%","5.1%","20.4%","33%",192,99,9.7,1.7,"4.7%",158,"8.4%",,116,"10.4%",,1.48,0.42,0.29
"Lonely","Liiv SANDBOX","Top",12,"42%","50%",29,37,66,2.6,"73.6%","22.5%","25.2%","17%",-191,-90,-6.1,7.7,"24.8%",398,"26.1%",,234,"22.3%",,0.56,0.26,0.21
"Malrang","KT Rolster","Jungle",5,"0%","20%",6,10,13,1.9,"82.6%","26.1%","16.4%","80%",-350,-596,-7.4,4.6,"12.5%",146,"10.8%",,156,"17.3%",,0.74,0.44,0.48
"Mia","SeolHaeOne Prince","Support",4,"50%","100%",6,11,25,2.8,"60.8%","11.8%","25.6%","0%",-487,-441,-17.5,1.2,"5.0%",163,"10.0%",,112,"10.4%",,2.64,0.65,0.7
"Mystic","Kwangdong Freecs","ADC",42,"43%","62%",143,111,172,2.8,"69.1%","31.4%","20.9%","19%",-13,-102,1.2,9.2,"32.7%",494,"28.5%",,289,"27.7%",,0.42,0.12,0.49
