MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
200.00,48.00,102.00,150.00,1.90,0.65,0.16,0.23,0.15,0.00,-123.00,-2.20,8.70,0.25,503.00,0.27,256.00,0.23,0.80,0.22,0.25
500.00,30.00,65.00,114.00,2.20,0.65,0.14,0.24,0.22,-53.00,-59.00,0.50,5.60,0.13,171.00,0.10,188.00,0.16,1.21,0.33,0.65
800.00,139.00,35.00,197.00,9.60,0.77,0.32,0.09,0.22,9.00,75.00,1.20,11.10,0.31,650.00,0.34,323.00,0.27,0.55,0.14,0.35
1100.00,132.00,48.00,234.00,7.60,0.73,0.27,0.18,0.30,91.00,132.00,3.70,10.10,0.25,484.00,0.24,307.00,0.23,0.67,0.15,0.24
200.00,44.00,118.00,180.00,1.90,0.73,0.14,0.26,0.38,39.00,135.00,-0.10,5.10,0.12,179.00,0.10,176.00,0.16,1.37,0.39,0.65
200.00,25.00,40.00,138.00,4.10,0.84,0.13,0.22,0.29,-129.00,-193.00,-1.90,4.80,0.11,168.00,0.09,174.00,0.15,1.70,0.47,0.71
200.00,25.00,57.00,110.00,2.40,0.75,0.14,0.35,0.39,-162.00,-168.00,-3.60,5.30,0.13,169.00,0.09,188.00,0.16,1.64,0.30,0.70
300.00,22.00,71.00,235.00,3.60,0.77,0.07,0.16,0.20,-26.00,-98.00,-0.70,2.10,0.06,123.00,0.07,128.00,0.11,1.48,0.47,0.47
400.00,79.00,72.00,156.00,3.30,0.63,0.21,0.19,0.18,-33.00,30.00,2.40,8.90,0.25,434.00,0.26,262.00,0.23,0.69,0.17,0.25
300.00,73.00,101.00,167.00,2.40,0.72,0.22,0.23,0.20,-85.00,-5.00,1.80,9.50,0.24,491.00,0.28,256.00,0.23,0.70,0.29,0.33
500.00,68.00,99.00,146.00,2.20,0.64,0.20,0.22,0.20,-24.00,-17.00,-2.70,9.20,0.25,441.00,0.25,264.00,0.23,0.65,0.21,0.23
700.00,125.00,60.00,177.00,5.00,0.72,0.30,0.19,0.23,166.00,97.00,4.60,10.90,0.30,653.00,0.33,324.00,0.26,0.54,0.16,0.46
400.00,93.00,86.00,127.00,2.60,0.75,0.32,0.18,0.17,11.00,-2.00,0.30,9.40,0.26,444.00,0.28,250.00,0.24,0.58,0.20,0.24
100.00,9.00,30.00,158.00,5.60,0.83,0.05,0.20,0.16,-77.00,-96.00,-2.40,2.10,0.06,144.00,0.07,152.00,0.12,1.39,0.47,0.42
600.00,141.00,83.00,213.00,4.30,0.82,0.33,0.21,0.20,-57.00,5.00,-0.40,10.20,0.28,548.00,0.30,296.00,0.25,0.61,0.13,0.33
100.00,109.00,76.00,147.00,3.40,0.68,0.29,0.20,0.25,-62.00,-7.00,-3.40,10.20,0.30,445.00,0.26,291.00,0.25,0.46,0.15,0.47
300.00,16.00,68.00,324.00,5.00,0.68,0.03,0.26,0.25,-11.00,26.00,2.20,2.20,0.06,139.00,0.07,147.00,0.11,1.51,0.49,0.40
400.00,26.00,39.00,52.00,2.00,0.70,0.23,0.22,0.24,165.00,141.00,5.20,6.10,0.15,187.00,0.11,206.00,0.18,1.32,0.26,0.55
400.00,89.00,74.00,136.00,3.00,0.74,0.29,0.16,0.25,71.00,-1.00,2.70,9.70,0.26,525.00,0.28,266.00,0.24,0.65,0.21,0.37
400.00,20.00,64.00,246.00,4.20,0.71,0.05,0.17,0.27,19.00,36.00,-0.60,2.10,0.06,89.00,0.05,135.00,0.11,1.74,0.55,0.50
400.00,24.00,98.00,279.00,3.10,0.73,0.06,0.22,0.16,72.00,41.00,1.30,2.10,0.06,130.00,0.07,139.00,0.12,1.51,0.46,0.45
500.00,92.00,44.00,167.00,5.90,0.61,0.22,0.21,0.21,152.00,107.00,3.60,10.10,0.27,570.00,0.27,329.00,0.24,0.81,0.22,0.29
300.00,68.00,56.00,153.00,3.90,0.59,0.18,0.20,0.17,27.00,41.00,3.10,9.80,0.26,425.00,0.24,293.00,0.23,0.67,0.15,0.24
100.00,85.00,29.00,143.00,7.90,0.77,0.29,0.12,0.35,48.00,-5.00,-0.60,11.30,0.30,547.00,0.31,334.00,0.26,0.59,0.19,0.62
