"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Life","Gen.G","Support",44,"55%","43%",30,60,272,5,"74.4%","7.4%","16.5%","41%",81,163,0,1.4,"4.3%",167,"11.3%",,118,"10.5%",,1.72,0.44,0.3
"Lindarang","Jin Air Green Wings","Top",28,"14%","32%",39,79,74,1.4,"53.8%","18.6%","20.2%","7%",-175,-113,-3.2,7.8,"24.2%",310,"22.2%",,219,"22.3%",,0.54,0.23,0.14
"Malrang","Jin Air Green Wings","Jungle",35,"9%","57%",61,91,126,2.1,"73.9%","24.1%","18.8%","37%",-54,-90,-1.8,4.5,"12.2%",216,"14.4%",,163,"16.6%",,1.07,0.48,0.55
"Mata","SK Telecom T1","Support",16,"38%","44%",8,30,92,3.3,"65.4%","5.2%","17.1%","19%",-98,-72,-4.1,1.3,"3.9%",130,"8.2%",,99,"8.9%",,1.87,0.59,0.43
"MooJin","Hanwha Life Esports","Jungle",5,"0%","40%",2,10,21,2.3,"95.8%","8.3%","18.5%","80%",-453,-487,-11.8,3.8,"8.6%",137,"11.5%",,129,"14.6%",,0.65,0.52,0.37
"Naehyun","Kingzone DragonX","Middle",46,"50%","48%",114,81,222,4.1,"66.8%","22.7%","15.1%","13%",-78,35,-3.7,8.7,"25.3%",366,"22.0%",,261,"23.1%",,0.58,0.26,0.23
"Nova","Jin Air Green Wings","Support",9,"22%","33%",5,21,39,2.1,"78.6%","8.9%","17.6%","22%",-30,68,2.2,1.5,"5.5%",163,"10.9%",,99,"9.8%",,1.84,0.58,0.52
"Nuclear","Dplus KIA","ADC",44,"64%","48%",132,63,258,6.2,"66.9%","22.6%","13.5%","9%",-152,-18,-6.2,9.7,"29.7%",457,"24.7%",,308,"25.1%",,0.44,0.14,0.39
"Nuguri","Dplus KIA","Top",42,"67%","45%",169,110,210,3.4,"66.1%","29.5%","25.3%","14%",152,11,5.5,9.2,"27.3%",572,"30.4%",,311,"25.1%",,0.48,0.14,0.25
"OnFleek","Liiv SANDBOX","Jungle",45,"60%","51%",89,101,247,3.3,"71.3%","18.9%","20.2%","38%",-18,20,2.5,5.4,"14.7%",211,"12.8%",,203,"17.7%",,0.76,0.35,0.64
"Peanut","Gen.G","Jungle",41,"56%","49%",63,76,209,3.6,"69.9%","16.2%","22.5%","46%",-62,-100,-4.1,5.2,"14.2%",159,"10.1%",,189,"16.9%",,0.67,0.34,0.55
"PraY","KT Rolster","ADC",44,"36%","55%",99,96,160,2.7,"60.7%","23.2%","18.3%","25%",-46,48,0.4,9.7,"31.9%",393,"26.1%",,292,"26.9%",,0.49,0.16,0.41
"Punch","Dplus KIA","Jungle",1,"0%","100%",1,2,1,1,"100.0%","50.0%","22.2%","0%",377,729,11,5,"12.9%",146,"14.7%",,149,"16.8%",,0.66,0.55,0.33
"Rascal","Kingzone DragonX","Top",46,"50%","54%",128,128,185,2.4,"62.2%","25.4%","23.9%","35%",-102,-90,-4.4,8.5,"26.6%",358,"21.4%",,263,"23.2%",,0.52,0.22,0.2
"Rich","Gen.G","Middle",5,"40%","60%",8,18,17,1.4,"58.1%","18.6%","34.6%","40%",-432,-452,-19,7.7,"21.7%",314,"20.0%",,224,"20.1%",,0.47,0.15,0.34
"Roach","Gen.G","Middle",2,"50%","0%",4,2,7,5.5,"61.1%","22.2%","9.1%","0%",-513,114,-6,9.2,"27.7%",317,"21.8%",,252,"23.5%",,0.54,0.26,0.27
"Roach","Gen.G","Top",2,"100%","50%",3,1,5,8,"29.6%","11.1%","50.0%","0%",-28,121,-5,9.5,"25.5%",295,"18.3%",,294,"21.4%",,0.41,0.18,0.27
"Route","Jin Air Green Wings","ADC",40,"10%","60%",89,95,119,2.2,"73.8%","31.6%","17.4%","23%",8,-45,0.3,10,"34.5%",437,"29.3%",,295,"29.6%",,0.5,0.21,0.43
"Ruler","Gen.G","ADC",44,"55%","48%",141,59,170,5.3,"76.6%","34.7%","16.3%","43%",101,-98,-0.7,10.4,"34.6%",489,"31.6%",,327,"29.2%",,0.55,0.21,0.55
"Sangyoon","Hanwha Life Esports","ADC",42,"36%","43%",116,62,137,4.1,"63.6%","29.1%","14.4%","21%",-26,-43,2.1,10,"33.9%",461,"29.3%",,297,"28.1%",,0.33,0.11,0.34
"Score","KT Rolster","Jungle",35,"37%","40%",51,96,198,2.6,"69.7%","14.3%","22.7%","46%",-16,51,0.4,4.5,"11.2%",196,"12.9%",,169,"15.8%",,0.86,0.35,0.44
"Seize","Jin Air Green Wings","Jungle",5,"20%","80%",8,15,13,1.4,"72.4%","27.6%","24.2%","0%",-295,-382,-8.8,4.6,"12.0%",265,"17.5%",,158,"16.7%",,0.81,0.42,0.31
"SeongHwan","Gen.G","Jungle",3,"33%","0%",3,5,9,2.4,"70.6%","17.6%","20.0%","67%",10,62,-3.7,5.5,"13.6%",169,"14.3%",,179,"18.1%",,0.53,0.36,0.45
"ShowMaker","Dplus KIA","Middle",44,"64%","48%",164,57,248,7.2,"70.7%","28.1%","12.2%","14%",122,55,4,9.3,"25.6%",444,"23.3%",,295,"24.2%",,0.52,0.24,0.28
"Smeb","KT Rolster","Top",20,"20%","30%",35,56,42,1.4,"51.3%","23.3%","21.5%","15%",-119,-85,-2.7,8.5,"27.7%",324,"23.0%",,242,"23.8%",,0.45,0.13,0.16
"SnowFlower","KT Rolster","Support",44,"36%","59%",31,129,234,2.1,"62.1%","7.3%","24.6%","30%",-15,-84,3,1.6,"5.1%",149,"10.2%",,106,"9.9%",,1.58,0.49,0.44
"SoHwan","Hanwha Life Esports","Top",29,"41%","48%",67,52,105,3.3,"57.7%","22.5%","18.8%","17%",121,42,-0.6,8,"25.3%",330,"21.8%",,248,"23.2%",,0.41,0.19,0.21
"Summit","Liiv SANDBOX","Top",45,"60%","49%",105,121,205,2.6,"65.8%","22.3%","24.2%","27%",177,104,5.7,8.6,"25.9%",439,"26.5%",,267,"23.3%",,0.5,0.18,0.25
"Sw0rd","Griffin","Top",23,"70%","48%",50,40,111,4,"58.3%","18.1%","23.4%","30%",154,184,2.1,8.8,"24.4%",385,"22.2%",,271,"21.7%",,0.52,0.18,0.27
"TaNa","Jin Air Green Wings","Top",12,"0%","33%",12,33,35,1.4,"65.3%","16.7%","21.3%","17%",-4,-47,-1.1,8.1,"25.6%",292,"19.6%",,214,"22.6%",,0.54,0.25,0.14
"Tarzan","Griffin","Jungle",42,"69%","62%",84,57,270,6.2,"72.0%","17.1%","19.9%","50%",142,244,4.5,5.5,"13.4%",230,"13.7%",,208,"16.6%",,0.75,0.46,0.49
"Teddy","SK Telecom T1","ADC",43,"60%","42%",151,49,145,6,"64.8%","33.0%","12.6%","16%",0,28,4.1,10.8,"34.0%",511,"29.5%",,332,"28.0%",,0.45,0.17,0.44
"Tempt","Hanwha Life Esports","Middle",20,"45%","50%",57,33,107,5,"72.6%","25.2%","17.1%","25%",137,66,0.4,8.9,"26.8%",476,"29.0%",,269,"24.4%",,0.54,0.26,0.27
"Test Sup","Kwangdong Freecs","Support",46,"57%","39%",26,135,301,2.4,"58.0%","4.6%","24.1%","20%",-50,-59,1.3,1.2,"3.7%",125,"7.7%",,105,"9.1%",,1.5,0.49,0.27
"Thal","Hanwha Life Esports","Top",13,"23%","46%",20,30,43,2.1,"63.0%","20.0%","19.4%","31%",-420,-358,-11.1,8,"26.2%",336,"22.9%",,229,"22.9%",,0.48,0.2,0.18
"TusiN","Kingzone DragonX","Support",46,"50%","57%",25,116,316,2.9,"67.8%","5.0%","21.7%","17%",48,-10,1,1.3,"4.4%",150,"9.1%",,110,"9.7%",,1.6,0.51,0.37
"ucal","Kwangdong Freecs","Middle",46,"57%","35%",134,106,233,3.5,"65.1%","23.8%","18.9%","22%",119,34,4.7,8.5,"24.3%",406,"23.7%",,260,"22.8%",,0.54,0.25,0.23
"UmTi","KT Rolster","Jungle",9,"33%","33%",12,15,34,3.1,"65.7%","17.1%","14.7%","44%",-106,-153,-1.6,4.9,"13.1%",164,"11.9%",,171,"15.8%",,0.93,0.48,0.61
"Viper","Griffin","ADC",42,"69%","45%",173,42,183,8.5,"72.4%","35.2%","14.7%","31%",133,-7,0.5,10.8,"31.1%",526,"30.6%",,347,"27.2%",,0.44,0.11,0.45
"Yaharong","Jin Air Green Wings","Middle",30,"10%","43%",39,82,98,1.7,"64.3%","18.3%","20.9%","17%",-142,-157,-3.6,8.4,"24.4%",357,"24.8%",,220,"22.4%",,0.48,0.23,0.19
