"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","Kwangdong Freecs","ADC",46,"57%","57%",176,77,223,5.2,"70.7%","31.2%","13.8%","24%",76,107,1.4,9.7,"32.1%",566,"32.2%",,318,"27.7%",,0.46,0.13,0.43
"Bdd","KT Rolster","Middle",44,"36%","48%",137,90,167,3.4,"71.2%","32.1%","17.2%","32%",31,2,1.6,8.5,"24.5%",438,"28.1%",,256,"23.6%",,0.53,0.22,0.25
"BeryL","Dplus KIA","Support",43,"65%","65%",28,115,376,3.5,"69.5%","4.8%","25.2%","14%",-5,-20,1.8,1.9,"5.9%",154,"8.0%",,128,"10.2%",,1.67,0.54,0.48
"bonO","Hanwha Life Esports","Jungle",37,"41%","59%",55,92,217,3,"72.7%","14.7%","24.4%","51%",21,-82,-5.2,4.4,"11.1%",185,"11.9%",,165,"15.3%",,0.85,0.48,0.5
"Canyon","Dplus KIA","Jungle",43,"65%","40%",88,108,342,4,"74.0%","15.1%","23.6%","28%",0,-60,1,4.9,"11.7%",274,"14.1%",,194,"15.6%",,0.71,0.42,0.46
"CheonGo","Jin Air Green Wings","Middle",10,"10%","80%",16,30,21,1.2,"53.6%","23.2%","19.6%","20%",-273,-155,-7.8,8.1,"24.8%",312,"19.9%",,210,"21.9%",,0.55,0.2,0.39
"Chovy","Griffin","Middle",42,"69%","60%",107,50,187,5.9,"59.8%","21.7%","17.5%","21%",31,59,2.4,10,"26.0%",378,"22.5%",,293,"23.3%",,0.53,0.23,0.35
"Clid","SK Telecom T1","Jungle",39,"64%","33%",77,70,233,4.4,"73.3%","18.2%","19.8%","41%",24,74,0.4,5.1,"13.0%",211,"12.3%",,198,"16.7%",,1.03,0.38,0.54
"CuVee","Gen.G","Top",42,"52%","60%",92,96,146,2.5,"62.8%","24.3%","26.6%","10%",-149,-83,-3.7,8.3,"24.1%",379,"24.2%",,252,"22.5%",,0.48,0.2,0.19
"Cuzz","Kingzone DragonX","Jungle",46,"50%","54%",95,109,267,3.3,"72.0%","18.9%","20.4%","37%",22,15,1.8,5.2,"13.9%",276,"16.5%",,196,"17.3%",,1.07,0.36,0.62
"Deft","Kingzone DragonX","ADC",46,"50%","52%",141,101,222,3.6,"72.2%","28.0%","18.9%","15%",-18,34,-0.3,9.5,"29.8%",526,"31.0%",,301,"26.6%",,0.56,0.23,0.36
"Doran","Griffin","Top",19,"68%","63%",58,38,63,3.2,"56.0%","26.9%","33.0%","37%",-34,1,1.2,9.4,"24.6%",419,"24.4%",,298,"23.4%",,0.48,0.15,0.18
"Dove","Liiv SANDBOX","Middle",45,"60%","58%",124,71,192,4.5,"67.1%","26.3%","14.2%","16%",28,79,2,8.7,"23.7%",451,"26.9%",,265,"22.8%",,0.42,0.2,0.3
"Dread","Kwangdong Freecs","Jungle",46,"57%","57%",109,133,267,2.8,"66.7%","19.3%","23.8%","35%",27,32,1.6,4.9,"13.7%",225,"13.1%",,196,"17.1%",,0.79,0.4,0.51
"Effort","SK Telecom T1","Support",27,"74%","41%",5,42,196,4.8,"66.1%","1.6%","19.7%","19%",-84,-71,-6.2,1.7,"5.1%",118,"6.6%",,132,"10.8%",,1.68,0.47,0.31
"Faker","SK Telecom T1","Middle",42,"62%","57%",92,85,190,3.3,"62.3%","20.3%","22.7%","17%",17,20,0.9,9.1,"24.2%",448,"26.0%",,271,"22.9%",,0.55,0.22,0.3
"Flame","Dplus KIA","Top",2,"0%","0%",1,9,3,0.4,"40.0%","10.0%","28.1%","0%",274,77,9,7.6,"22.5%",345,"23.7%",,192,"20.5%",,0.45,0.14,0.19
"Fly","Gen.G","Middle",18,"67%","44%",31,23,80,4.8,"61.7%","17.2%","17.6%","17%",-241,-116,-11.1,7.7,"21.1%",376,"23.5%",,220,"19.6%",,0.49,0.26,0.2
"Ghost","Liiv SANDBOX","ADC",45,"60%","51%",126,84,209,4,"71.1%","26.8%","16.8%","16%",-73,-17,-1.4,9.4,"30.0%",420,"24.6%",,299,"25.6%",,0.52,0.2,0.38
"Gori","SK Telecom T1","Middle",1,"0%","0%",2,3,1,1,"75.0%","50.0%","23.1%","0%",317,118,5,8.7,"21.0%",228,"25.3%",,221,"24.6%",,0.63,0.2,0.39
"Haru","SK Telecom T1","Jungle",4,"25%","50%",9,6,16,4.2,"73.5%","26.5%","17.6%","50%",47,-83,1.3,5.1,"12.3%",221,"15.1%",,177,"16.8%",,0.7,0.34,0.45
"Hoit","Dplus KIA","Support",1,"0%","100%",0,2,0,0,"0.0%","0.0%","22.2%","0%",-14,-588,-2,2,"7.4%",27,"2.7%",,80,"9.0%",,1.49,0.44,0.25
"Joker","Liiv SANDBOX","Support",45,"60%","47%",27,124,301,2.6,"69.6%","5.7%","24.8%","13%",-61,23,-1.7,1.8,"5.7%",150,"9.2%",,125,"10.7%",,1.64,0.49,0.36
"Kellin","Jin Air Green Wings","Support",31,"6%","52%",13,100,139,1.5,"67.3%","5.8%","23.4%","23%",4,-113,-3.1,1.2,"3.9%",166,"10.9%",,89,"8.8%",,1.79,0.59,0.32
"Key","Hanwha Life Esports","Support",42,"36%","55%",23,100,240,2.6,"66.1%","5.8%","23.2%","24%",-13,8,-0.2,1.4,"4.5%",120,"8.1%",,101,"9.4%",,1.55,0.5,0.4
"Khan","SK Telecom T1","Top",43,"60%","63%",113,103,157,2.6,"59.1%","24.7%","26.5%","26%",-34,-29,-0.3,8.5,"24.3%",419,"24.7%",,264,"22.2%",,0.58,0.26,0.2
"Kiin","Kwangdong Freecs","Top",46,"57%","50%",119,109,206,3,"57.6%","21.1%","19.5%","20%",149,188,5.5,8.6,"26.2%",400,"23.3%",,270,"23.3%",,0.51,0.2,0.24
"Kingen","KT Rolster","Top",24,"50%","58%",62,42,96,3.8,"57.0%","22.4%","15.9%","21%",-122,-30,-5.4,8.4,"26.2%",362,"22.9%",,264,"23.8%",,0.41,0.17,0.21
"Kuzan","Gen.G","Middle",19,"47%","53%",31,23,80,4.8,"67.3%","18.8%","14.6%","16%",-80,-90,-1.2,8.8,"24.2%",358,"23.0%",,243,"22.3%",,0.45,0.18,0.29
"Lava","Hanwha Life Esports","Middle",22,"27%","50%",58,52,65,2.4,"71.5%","33.7%","21.8%","32%",47,-85,-0.8,8.3,"23.7%",398,"28.3%",,246,"24.1%",,0.47,0.22,0.28
"Lehends","Griffin","Support",42,"69%","45%",20,59,329,5.9,"70.9%","4.1%","20.6%","26%",111,137,1.8,1.7,"5.0%",173,"10.0%",,130,"10.4%",,1.49,0.48,0.34
