"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"ADD","MVP","Top",45,"51%","47%",79,135,244,2.4,"61.2%","15.0%","21.4%","22%",-17,-55,-0.3,7.7,"24.2%",450,"23.6%",,236,"21.1%",,0.59,0.15,0.17
"Ambition","Samsung Galaxy","Jungle",12,"58%","25%",34,34,69,3,"66.0%","21.8%","25.6%","25%",-18,117,7.2,5.7,"16.1%",323,"15.7%",,234,"19.6%",,0.84,0.22,0.35
"Bang","SK Telecom T1","ADC",42,"76%","60%",145,62,260,6.5,"63.3%","22.7%","16.5%","7%",207,90,8.2,9.1,"26.7%",601,"27.3%",,295,"23.2%",,0.44,0.07,0.18
"Beyond","MVP","Jungle",45,"51%","60%",136,140,233,2.6,"69.9%","25.8%","22.2%","36%",-17,96,3.7,5.6,"18.2%",331,"16.9%",,231,"20.5%",,0.78,0.23,0.39
"Blank","SK Telecom T1","Jungle",6,"100%","67%",26,10,66,9.2,"71.3%","20.2%","17.5%","33%",-135,-213,-4.5,4.7,"15.0%",367,"14.2%",,255,"18.8%",,0.92,0.29,0.47
"Bless","bbq Olivers","Jungle",44,"36%","45%",74,118,188,2.2,"60.0%","16.9%","24.8%","32%",-152,-125,0.6,5.1,"15.3%",259,"15.2%",,207,"19.1%",,0.71,0.16,0.4
"CoreJJ","Samsung Galaxy","Support",35,"71%","51%",29,51,244,5.4,"65.6%","7.0%","16.4%","11%",78,57,0.5,1,"3.5%",268,"13.4%",,148,"11.9%",,1.39,0.35,0.5
"Crash","Longzhu Gaming","Jungle",45,"44%","42%",120,118,204,2.7,"64.7%","24.0%","20.7%","38%",25,-44,-1.2,5.2,"16.4%",289,"14.8%",,221,"19.6%",,0.79,0.19,0.37
"Crazy","bbq Olivers","Top",41,"37%","63%",71,73,195,3.6,"63.5%","16.9%","16.4%","17%",-2,5,2.9,8.1,"24.4%",368,"20.9%",,229,"21.2%",,0.57,0.1,0.09
"Crown","Samsung Galaxy","Middle",42,"71%","45%",149,78,176,4.2,"64.0%","29.3%","20.5%","45%",215,149,5.9,9.5,"28.3%",567,"28.5%",,296,"24.4%",,0.6,0.17,0.2
"CuVee","Samsung Galaxy","Top",42,"71%","38%",62,78,235,3.8,"58.5%","12.2%","20.5%","33%",61,29,0.1,8.1,"23.4%",378,"19.8%",,247,"20.4%",,0.52,0.1,0.16
"Deft","KT Rolster","ADC",44,"66%","41%",120,80,252,4.7,"63.1%","20.3%","16.4%","18%",257,103,7.1,9,"28.3%",590,"27.8%",,280,"23.4%",,0.46,0.13,0.28
"Edge","Kongdoo Monster","Middle",45,"27%","47%",114,89,153,3,"69.4%","29.6%","15.6%","20%",-51,-13,-2.9,9.1,"28.5%",430,"25.1%",,257,"24.5%",,0.44,0.13,0.18
"Expession","Longzhu Gaming","Top",45,"44%","58%",80,111,226,2.8,"61.1%","16.0%","19.5%","20%",5,67,1.1,8.2,"24.8%",407,"21.1%",,242,"21.6%",,0.47,0.06,0.09
"Faker","SK Telecom T1","Middle",42,"76%","52%",196,89,223,4.7,"65.5%","30.6%","23.7%","21%",52,82,1.4,9.3,"27.4%",560,"25.2%",,306,"24.0%",,0.46,0.09,0.18
"Fly","Longzhu Gaming","Middle",45,"44%","40%",143,97,192,3.5,"66.9%","28.5%","17.0%","20%",-127,-95,-6,8.8,"27.5%",493,"25.3%",,266,"23.6%",,0.56,0.13,0.2
"Ghost","bbq Olivers","ADC",44,"36%","50%",115,96,194,3.2,"70.7%","26.3%","20.2%","11%",-154,-109,-5.9,9,"29.0%",465,"26.1%",,261,"24.1%",,0.38,0.09,0.2
"GorillA","Longzhu Gaming","Support",45,"44%","44%",29,134,301,2.5,"65.9%","5.8%","23.5%","24%",-26,101,-0.9,0.8,"2.9%",237,"11.9%",,127,"11.0%",,1.45,0.35,0.42
"GuGer","Kongdoo Monster","Support",41,"27%","34%",18,111,227,2.2,"70.0%","5.1%","21.5%","22%",-46,-59,-1.3,0.9,"3.5%",234,"13.5%",,121,"11.2%",,1.58,0.4,0.48
"Haru","Samsung Galaxy","Jungle",30,"77%","47%",109,57,132,4.2,"68.5%","31.0%","23.1%","60%",250,223,2,5.9,"18.3%",305,"16.1%",,258,"20.8%",,0.75,0.23,0.36
"Huni","SK Telecom T1","Top",33,"76%","52%",91,64,235,5.1,"63.3%","17.7%","19.9%","27%",-10,-31,-2.6,9,"27.4%",559,"24.1%",,288,"22.3%",,0.48,0.07,0.11
"Ian","MVP","Middle",45,"51%","49%",129,129,207,2.6,"63.6%","24.4%","20.5%","18%",-162,-182,-5,8,"24.4%",478,"24.2%",,250,"22.3%",,0.54,0.13,0.21
"ikssu","Jin Air Green Wings","Top",32,"25%","63%",49,87,160,2.4,"58.9%","13.8%","19.1%","19%",-83,-107,-3.5,7.6,"23.1%",350,"19.3%",,211,"20.2%",,0.52,0.08,0.11
"Key","ROX Tigers","Support",47,"45%","51%",33,140,344,2.7,"67.3%","5.9%","22.4%","23%",-29,-157,-0.4,1.1,"4.0%",211,"11.0%",,135,"11.7%",,1.55,0.46,0.66
