"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ambition","Samsung Galaxy","Jungle",44,"50%",,94,90,203,3.3,"74.1%","23.4%","21.3%","34%",170,318,4,5,"15.1%",386,"20.9%",,236,"20.7%",,0.77,0.17,0.64
"Arrow","KT Rolster","ADC",43,"67%",,151,69,236,5.6,"69.7%","27.2%","15.1%","21%",10,91,1.9,8.9,"28.2%",497,"25.0%",,277,"23.7%",,0.57,0.11,0.37
"Bang","SK Telecom T1","ADC",41,"63%",,149,54,191,6.3,"69.5%","30.5%","14.6%","24%",80,70,2.7,9.3,"28.8%",590,"29.1%",,296,"24.3%",,0.53,0.06,0.25
"Bdd","CJ Entus","Middle",22,"41%",,60,57,120,3.2,"83.3%","27.8%","20.7%","9%",-76,-17,-0.6,7.8,"26.4%",500,"28.0%",,236,"22.9%",,0.6,0.07,0.18
"Bengi","SK Telecom T1","Jungle",17,"65%",,22,40,112,3.4,"67.3%","11.1%","25.3%","35%",-278,-340,-3.9,3.7,"11.5%",268,"12.6%",,194,"16.5%",,0.85,0.11,0.58
"Blank","SK Telecom T1","Jungle",24,"63%",,71,41,134,5,"70.7%","24.5%","19.4%","33%",26,-30,1.5,4.4,"13.5%",340,"17.1%",,235,"19.2%",,0.93,0.18,0.61
"Bubbling","CJ Entus","Jungle",46,"41%",,60,123,246,2.5,"67.8%","13.3%","23.2%","26%",-252,-289,-4.9,3.7,"11.6%",277,"15.3%",,190,"17.6%",,0.84,0.17,0.54
"Chaser","Longzhu Gaming","Jungle",32,"44%",,62,64,172,3.7,"76.0%","20.1%","20.6%","50%",59,54,0.2,4.4,"14.2%",301,"16.2%",,220,"19.7%",,0.89,0.25,0.54
"Chei","Jin Air Green Wings","Support",42,"55%",,27,82,286,3.8,"73.5%","6.3%","22.9%","29%",18,84,0.5,1.1,"4.0%",107,"6.1%",,124,"11.0%",,1.45,0.39,0.42
"Coco","Longzhu Gaming","Middle",33,"45%",,90,76,131,2.9,"68.4%","27.9%","23.4%","33%",11,-78,-0.6,8.8,"26.7%",574,"30.0%",,267,"23.5%",,0.66,0.1,0.24
"CoreJJ","Samsung Galaxy","ADC",28,"50%",,56,42,122,4.2,"74.5%","23.4%","16.9%","14%",-43,179,-0.7,9,"27.3%",460,"25.0%",,263,"23.3%",,0.53,0.05,0.29
"Cpt Jack","Longzhu Gaming","ADC",28,"61%",,75,48,103,3.7,"62.5%","26.3%","18.6%","18%",43,-93,1.1,9.2,"28.7%",561,"29.3%",,283,"23.8%",,0.46,0.06,0.28
"Crash","Longzhu Gaming","Jungle",11,"64%",,28,31,57,2.7,"72.6%","23.9%","29.0%","18%",324,621,7,4.7,"13.5%",347,"19.0%",,246,"20.3%",,0.85,0.15,0.51
"Crown","Samsung Galaxy","Middle",44,"50%",,113,87,188,3.5,"75.1%","28.2%","20.6%","20%",-24,40,0.6,9.2,"28.5%",557,"30.5%",,279,"24.5%",,0.62,0.12,0.23
"Crush","Kongdoo Monster","Jungle",25,"20%",,47,63,94,2.2,"71.9%","24.0%","18.9%","24%",-165,-206,-1.1,4.3,"13.7%",288,"15.4%",,201,"19.4%",,0.63,0.14,0.48
"Crush","e-mFire","Jungle",18,"17%",,29,50,66,1.9,"73.1%","22.3%","21.6%","33%",-219,-83,-1.6,4,"13.3%",266,"16.6%",,184,"18.6%",,0.62,0.1,0.45
"CuVee","Samsung Galaxy","Top",44,"50%",,76,104,193,2.6,"67.1%","19.0%","24.6%","14%",-32,-195,-2.3,7.8,"25.1%",357,"19.4%",,243,"21.4%",,0.57,0.12,0.15
"Duke","SK Telecom T1","Top",41,"63%",,96,75,222,4.2,"65.0%","19.6%","20.3%","17%",64,266,4.1,8.3,"26.6%",388,"19.1%",,267,"22.1%",,0.44,0.06,0.14
"Edge","Kongdoo Monster","Middle",25,"20%",,56,49,88,2.9,"73.5%","28.6%","14.7%","24%",5,7,1.2,8.4,"27.1%",553,"28.9%",,244,"23.6%",,0.46,0.11,0.17
"Edge","e-mFire","Middle",18,"17%",,33,35,58,2.6,"70.0%","25.4%","15.1%","22%",-113,56,0.1,8.7,"28.2%",463,"30.2%",,245,"25.1%",,0.43,0.1,0.19
"Expession","Longzhu Gaming","Top",26,"50%",,46,43,108,3.6,"64.7%","19.3%","18.6%","27%",189,223,5.4,7.8,"26.6%",345,"18.8%",,248,"21.8%",,0.5,0.08,0.17
"Faker","SK Telecom T1","Middle",40,"65%",,135,86,226,4.2,"74.1%","27.7%","23.8%","20%",26,17,4.1,9,"27.3%",638,"31.6%",,301,"24.7%",,0.55,0.08,0.28
"Flame","Longzhu Gaming","Top",17,"47%",,43,37,79,3.3,"65.2%","23.0%","19.9%","6%",114,80,4.8,7.7,"26.7%",377,"19.6%",,256,"22.4%",,0.57,0.13,0.15
"Flawless","SBENU Korea","Jungle",41,"22%",,53,125,148,1.6,"69.8%","18.4%","24.2%","34%",-157,-195,-1.8,4.1,"13.3%",271,"16.7%",,189,"18.8%",,0.9,0.26,0.62
"Fly","KT Rolster","Middle",43,"67%",,109,88,294,4.6,"72.6%","19.6%","19.3%","37%",-68,-16,-3.3,8.1,"25.3%",497,"25.0%",,254,"21.9%",,0.55,0.14,0.22
"Frozen","Longzhu Gaming","Middle",10,"60%",,22,15,49,4.7,"69.6%","21.6%","16.3%","20%",159,-32,0.3,8.8,"26.0%",482,"27.5%",,282,"23.1%",,0.54,0.09,0.22
"Fury","Longzhu Gaming","ADC",15,"27%",,40,28,52,3.3,"65.7%","28.6%","17.6%","33%",-26,-23,-1.5,8.7,"28.8%",502,"27.3%",,260,"24.1%",,0.51,0.09,0.33
"GorillA","ROX Tigers","Support",41,"83%",,22,80,430,5.7,"72.4%","3.5%","22.3%","37%",17,123,0.1,1.1,"4.3%",117,"5.7%",,147,"11.4%",,1.33,0.29,0.29
"GuGer","e-mFire","Support",18,"17%",,6,54,92,1.8,"75.4%","4.6%","23.3%","28%",-52,-32,1.8,1.2,"4.5%",104,"6.8%",,108,"10.8%",,1.41,0.31,0.39
"GuGer","Kongdoo Monster","Support",25,"20%",,5,74,137,1.9,"72.4%","2.6%","22.2%","24%",9,-31,0.7,1,"3.5%",142,"7.7%",,111,"10.6%",,1.39,0.31,0.34
"Hachani","KT Rolster","Support",40,"68%",,35,99,355,3.9,"73.6%","6.6%","22.7%","28%",46,-47,-0.2,1.1,"3.9%",121,"6.3%",,130,"11.0%",,1.34,0.31,0.45
"Hipo","Kongdoo Monster","Top",22,"18%",,22,83,88,1.3,"60.8%","12.2%","27.5%","23%",-132,-92,-2.2,7,"23.1%",335,"18.6%",,209,"20.1%",,0.55,0.1,0.13
"Hipo","e-mFire","Top",14,"21%",,13,46,47,1.3,"57.7%","12.5%","26.9%","14%",-355,-331,-12.9,6.6,"24.0%",264,"16.5%",,195,"19.5%",,0.53,0.08,0.17
"IgNar","KT Rolster","Support",3,"67%",,1,5,17,3.6,"72.0%","4.0%","23.8%","33%",-139,-475,-0.7,1.2,"4.3%",98,"5.4%",,116,"10.5%",,1.58,0.34,0.48
