MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
200.00,88.00,91.00,200.00,3.20,0.58,0.18,0.22,0.27,157.00,47.00,1.20,8.00,0.24,518.00,0.24,259.00,0.23,0.35,0.20,0.28
600.00,127.00,91.00,277.00,4.40,0.74,0.23,0.20,0.41,203.00,143.00,2.50,6.10,0.16,294.00,0.14,223.00,0.18,0.38,0.25,0.33
300.00,64.00,132.00,159.00,1.70,0.68,0.20,0.23,0.30,-107.00,-128.00,-1.60,5.70,0.16,248.00,0.14,182.00,0.18,0.44,0.37,0.52
800.00,108.00,63.00,260.00,5.80,0.65,0.19,0.20,0.55,240.00,185.00,4.40,6.10,0.15,262.00,0.12,219.00,0.17,0.45,0.30,0.42
1200.00,213.00,65.00,193.00,6.20,0.73,0.38,0.15,0.24,211.00,185.00,7.80,10.40,0.36,624.00,0.29,351.00,0.30,0.62,0.15,0.45
400.00,116.00,100.00,248.00,3.60,0.73,0.23,0.19,0.29,0.00,130.00,3.50,6.00,0.15,266.00,0.13,199.00,0.18,0.50,0.45,0.42
300.00,110.00,103.00,244.00,3.40,0.64,0.20,0.22,0.29,-5.00,69.00,-1.20,8.30,0.25,451.00,0.22,260.00,0.23,0.36,0.21,0.29
1200.00,213.00,53.00,190.00,7.60,0.72,0.38,0.17,0.33,172.00,88.00,-0.70,9.50,0.30,672.00,0.30,348.00,0.27,0.65,0.25,0.56
0.00,62.00,86.00,96.00,1.80,0.62,0.24,0.19,0.28,-86.00,17.00,3.20,9.10,0.32,437.00,0.25,285.00,0.27,0.51,0.15,0.40
800.00,115.00,57.00,225.00,6.00,0.68,0.23,0.14,0.24,5.00,45.00,0.40,8.80,0.27,499.00,0.23,269.00,0.24,0.51,0.25,0.30
100.00,12.00,54.00,157.00,3.10,0.77,0.06,0.24,0.21,51.00,29.00,1.10,1.00,0.03,156.00,0.08,97.00,0.09,1.55,0.49,0.36
500.00,122.00,90.00,169.00,3.20,0.78,0.33,0.18,0.21,-138.00,-120.00,-12.00,8.60,0.30,477.00,0.28,278.00,0.27,0.79,0.22,0.54
400.00,59.00,98.00,178.00,2.40,0.71,0.18,0.20,0.46,-90.00,-110.00,-1.30,5.70,0.13,224.00,0.14,170.00,0.16,0.44,0.41,0.45
600.00,82.00,80.00,236.00,4.00,0.68,0.18,0.22,0.17,1.00,57.00,-1.70,8.80,0.26,555.00,0.27,268.00,0.23,0.50,0.29,0.23
100.00,25.00,127.00,221.00,1.90,0.72,0.07,0.20,0.28,-140.00,-127.00,-3.20,1.10,0.03,155.00,0.09,90.00,0.09,1.59,0.48,0.27
900.00,146.00,90.00,242.00,4.30,0.73,0.27,0.16,0.18,54.00,-27.00,1.80,9.40,0.29,584.00,0.28,286.00,0.25,0.42,0.19,0.25
1100.00,129.00,114.00,240.00,3.20,0.68,0.24,0.25,0.18,203.00,100.00,4.40,8.10,0.23,553.00,0.27,283.00,0.23,0.34,0.20,0.20
