"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"ADD","MVP","Top",42,"31%","55%",69,144,163,1.6,"59.8%","17.8%","27.5%","12%",-227,-252,-8.2,7.9,"25.1%",409,"22.9%",,226,"21.0%",,0.61,0.17,0.18
"Ambition","Samsung Galaxy","Jungle",37,"68%","49%",64,65,185,3.8,"65.0%","16.7%","19.8%","35%",53,121,5,5.2,"14.5%",255,"12.9%",,218,"18.2%",,0.87,0.26,0.36
"Bang","SK Telecom T1","ADC",41,"63%","59%",125,63,181,4.9,"68.0%","27.8%","14.2%","29%",77,90,3.1,9.8,"29.6%",550,"28.6%",,301,"24.8%",,0.43,0.06,0.21
"Bdd","Longzhu Gaming","Middle",44,"70%","50%",188,42,287,11.3,"78.0%","30.9%","10.3%","25%",159,128,2.7,9,"26.2%",511,"24.8%",,291,"23.7%",,0.5,0.09,0.14
"Beyond","MVP","Jungle",42,"31%","64%",75,116,216,2.5,"75.0%","19.3%","22.1%","29%",-68,91,6.6,4.6,"13.2%",237,"13.6%",,192,"17.8%",,0.91,0.26,0.39
"Blank","SK Telecom T1","Jungle",17,"82%","47%",45,38,111,4.1,"69.3%","20.0%","20.9%","29%",132,-34,-4.9,4.3,"11.9%",250,"12.5%",,221,"17.5%",,0.98,0.28,0.45
"Bless","bbq Olivers","Jungle",45,"29%","44%",68,114,165,2,"63.0%","18.4%","24.4%","24%",-104,-108,-3.3,4.3,"12.7%",209,"12.6%",,184,"17.5%",,0.89,0.26,0.35
"Cepted","Ever8 Winners","Middle",41,"27%","59%",108,109,151,2.4,"71.3%","29.8%","22.6%","12%",-58,-34,0.7,9.6,"29.1%",450,"28.3%",,273,"25.6%",,0.46,0.15,0.21
"CoreJJ","Samsung Galaxy","Support",44,"66%","48%",24,66,295,4.8,"73.0%","5.5%","16.9%","20%",-13,30,0.7,1.3,"4.4%",188,"10.0%",,145,"12.0%",,1.32,0.37,0.48
"Crazy","bbq Olivers","Top",45,"29%","44%",78,88,149,2.6,"61.4%","21.1%","18.8%","16%",101,101,5.6,8.3,"25.6%",408,"24.6%",,231,"22.2%",,0.59,0.13,0.14
"Crow","ROX Tigers","Middle",1,"0%","0%",2,3,0,0.7,"66.7%","66.7%","21.4%","0%",-13,-155,-1,9.3,"25.1%",399,"32.9%",,245,"26.4%",,0.4,0.07,0.37
"Crown","Samsung Galaxy","Middle",44,"66%","50%",113,89,179,3.3,"66.8%","25.9%","22.8%","25%",14,-4,1.6,9.1,"25.5%",511,"26.6%",,276,"23.1%",,0.48,0.17,0.26
"CuVee","Samsung Galaxy","Top",44,"66%","48%",103,77,164,3.5,"61.1%","23.6%","19.7%","23%",-3,-129,-2.5,8.8,"26.4%",422,"22.3%",,263,"21.9%",,0.56,0.13,0.16
"Cuzz","Longzhu Gaming","Jungle",44,"70%","36%",105,86,288,4.6,"64.5%","17.2%","21.1%","45%",-8,-146,-4.3,4.1,"12.2%",303,"14.8%",,211,"17.2%",,0.91,0.21,0.5
"Deft","KT Rolster","ADC",47,"66%","47%",160,72,255,5.8,"63.7%","24.6%","17.6%","19%",180,125,4.9,9.6,"30.4%",585,"28.9%",,303,"24.5%",,0.49,0.15,0.33
