MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
600.00,176.00,77.00,223.00,5.20,0.71,0.31,0.14,0.24,76.00,107.00,1.40,9.70,0.32,566.00,0.32,318.00,0.28,0.46,0.13,0.43
700.00,137.00,90.00,167.00,3.40,0.71,0.32,0.17,0.32,31.00,2.00,1.60,8.50,0.25,438.00,0.28,256.00,0.24,0.53,0.22,0.25
300.00,28.00,115.00,376.00,3.50,0.70,0.05,0.25,0.14,-5.00,-20.00,1.80,1.90,0.06,154.00,0.08,128.00,0.10,1.67,0.54,0.48
500.00,55.00,92.00,217.00,3.00,0.73,0.15,0.24,0.51,21.00,-82.00,-5.20,4.40,0.11,185.00,0.12,165.00,0.15,0.85,0.48,0.50
1000.00,88.00,108.00,342.00,4.00,0.74,0.15,0.24,0.28,0.00,-60.00,1.00,4.90,0.12,274.00,0.14,194.00,0.16,0.71,0.42,0.46
0.00,16.00,30.00,21.00,1.20,0.54,0.23,0.20,0.20,-273.00,-155.00,-7.80,8.10,0.25,312.00,0.20,210.00,0.22,0.55,0.20,0.39
600.00,107.00,50.00,187.00,5.90,0.60,0.22,0.18,0.21,31.00,59.00,2.40,10.00,0.26,378.00,0.23,293.00,0.23,0.53,0.23,0.35
600.00,77.00,70.00,233.00,4.40,0.73,0.18,0.20,0.41,24.00,74.00,0.40,5.10,0.13,211.00,0.12,198.00,0.17,1.03,0.38,0.54
500.00,92.00,96.00,146.00,2.50,0.63,0.24,0.27,0.10,-149.00,-83.00,-3.70,8.30,0.24,379.00,0.24,252.00,0.23,0.48,0.20,0.19
600.00,95.00,109.00,267.00,3.30,0.72,0.19,0.20,0.37,22.00,15.00,1.80,5.20,0.14,276.00,0.17,196.00,0.17,1.07,0.36,0.62
300.00,141.00,101.00,222.00,3.60,0.72,0.28,0.19,0.15,-18.00,34.00,-0.30,9.50,0.30,526.00,0.31,301.00,0.27,0.56,0.23,0.36
300.00,58.00,38.00,63.00,3.20,0.56,0.27,0.33,0.37,-34.00,1.00,1.20,9.40,0.25,419.00,0.24,298.00,0.23,0.48,0.15,0.18
600.00,124.00,71.00,192.00,4.50,0.67,0.26,0.14,0.16,28.00,79.00,2.00,8.70,0.24,451.00,0.27,265.00,0.23,0.42,0.20,0.30
600.00,109.00,133.00,267.00,2.80,0.67,0.19,0.24,0.35,27.00,32.00,1.60,4.90,0.14,225.00,0.13,196.00,0.17,0.79,0.40,0.51
