MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
500.00,93.00,57.00,100.00,3.40,0.69,0.33,0.15,0.24,-6.00,-73.00,-4.60,9.80,0.33,504.00,0.33,302.00,0.28,0.48,0.16,0.47
100.00,23.00,47.00,83.00,2.30,0.64,0.14,0.22,0.13,-204.00,-141.00,-3.80,7.70,0.23,331.00,0.21,218.00,0.21,0.60,0.39,0.24
200.00,115.00,101.00,193.00,3.00,0.72,0.27,0.18,0.21,95.00,58.00,3.20,8.50,0.24,398.00,0.25,247.00,0.23,0.50,0.22,0.21
0.00,8.00,38.00,91.00,2.60,0.67,0.05,0.30,0.15,-98.00,-14.00,-1.80,2.10,0.07,103.00,0.06,126.00,0.10,1.75,0.54,0.28
200.00,51.00,102.00,196.00,2.40,0.70,0.14,0.25,0.26,-71.00,-2.00,-1.30,4.40,0.11,188.00,0.13,165.00,0.15,1.10,0.45,0.49
100.00,50.00,70.00,185.00,3.40,0.70,0.15,0.23,0.21,-156.00,-136.00,-0.50,5.10,0.13,251.00,0.14,193.00,0.16,0.71,0.38,0.43
1300.00,134.00,33.00,219.00,10.70,0.65,0.25,0.15,0.33,251.00,191.00,5.40,10.20,0.27,463.00,0.26,307.00,0.24,0.41,0.13,0.33
1000.00,102.00,71.00,283.00,5.40,0.76,0.20,0.20,0.64,103.00,44.00,0.10,5.10,0.13,221.00,0.12,202.00,0.17,1.12,0.38,0.56
200.00,43.00,56.00,78.00,2.20,0.59,0.21,0.24,0.13,-18.00,-50.00,-4.60,8.40,0.24,347.00,0.24,250.00,0.23,0.54,0.25,0.28
700.00,104.00,84.00,215.00,3.80,0.66,0.22,0.22,0.38,72.00,153.00,3.40,5.50,0.15,275.00,0.16,214.00,0.18,0.70,0.38,0.55
1200.00,141.00,69.00,209.00,5.10,0.73,0.29,0.18,0.21,76.00,81.00,4.30,10.10,0.31,636.00,0.35,325.00,0.27,0.58,0.21,0.44
300.00,122.00,77.00,219.00,4.40,0.70,0.25,0.17,0.16,-52.00,35.00,1.80,8.60,0.23,433.00,0.25,261.00,0.22,0.47,0.26,0.30
200.00,93.00,119.00,195.00,2.40,0.71,0.23,0.23,0.45,-49.00,-43.00,-2.30,4.70,0.14,214.00,0.13,183.00,0.17,0.91,0.38,0.55
600.00,103.00,80.00,213.00,4.00,0.62,0.20,0.22,0.30,-21.00,-74.00,3.30,9.00,0.24,434.00,0.25,267.00,0.22,0.51,0.21,0.25
300.00,35.00,22.00,47.00,3.70,0.62,0.26,0.17,0.17,114.00,114.00,7.60,8.70,0.25,421.00,0.25,272.00,0.23,0.45,0.14,0.18
100.00,54.00,89.00,160.00,2.40,0.65,0.17,0.21,0.10,-109.00,-41.00,-2.80,8.40,0.23,361.00,0.25,225.00,0.21,0.50,0.23,0.25
100.00,40.00,45.00,68.00,2.40,0.65,0.24,0.19,0.19,-92.00,-93.00,-3.90,9.40,0.31,420.00,0.27,280.00,0.27,0.36,0.13,0.30
700.00,121.00,70.00,209.00,4.70,0.68,0.25,0.15,0.14,-54.00,72.00,0.30,10.10,0.30,506.00,0.28,310.00,0.26,0.48,0.20,0.37
200.00,15.00,60.00,236.00,4.20,0.74,0.04,0.19,0.17,-53.00,-59.00,-0.40,1.80,0.06,119.00,0.07,140.00,0.12,1.63,0.46,0.46
100.00,9.00,72.00,137.00,2.00,0.67,0.04,0.22,0.22,-4.00,-42.00,-0.70,1.70,0.05,115.00,0.08,106.00,0.10,1.48,0.47,0.32
