MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
100.00,45.00,83.00,128.00,2.10,0.66,0.17,0.22,0.19,-65.00,-149.00,-2.10,8.90,0.27,412.00,0.25,238.00,0.24,0.51,0.17,0.20
200.00,97.00,51.00,165.00,5.10,0.71,0.26,0.18,0.29,-168.00,-228.00,-7.90,9.70,0.28,419.00,0.25,296.00,0.25,0.59,0.19,0.31
400.00,23.00,49.00,124.00,3.00,0.74,0.12,0.24,0.23,-88.00,-2.00,1.50,5.10,0.13,148.00,0.09,176.00,0.16,0.48,0.33,0.45
300.00,89.00,53.00,169.00,4.90,0.70,0.24,0.13,0.29,-47.00,-32.00,-4.30,9.80,0.28,566.00,0.33,283.00,0.25,0.52,0.16,0.26
900.00,128.00,66.00,189.00,4.80,0.70,0.28,0.18,0.21,23.00,-58.00,1.60,9.10,0.25,449.00,0.25,268.00,0.23,0.50,0.20,0.15
0.00,63.00,101.00,159.00,2.20,0.76,0.22,0.23,0.37,-94.00,-68.00,0.00,4.70,0.12,177.00,0.11,162.00,0.16,0.61,0.31,0.36
200.00,47.00,77.00,218.00,3.40,0.74,0.13,0.20,0.44,-40.00,-96.00,-2.60,4.70,0.12,179.00,0.10,176.00,0.16,0.74,0.47,0.46
500.00,115.00,31.00,166.00,9.10,0.71,0.29,0.14,0.15,-30.00,-43.00,-2.20,9.70,0.27,437.00,0.26,288.00,0.24,0.45,0.11,0.25
400.00,18.00,72.00,261.00,3.90,0.74,0.05,0.21,0.16,6.00,8.00,-1.30,1.40,0.04,125.00,0.08,110.00,0.10,1.48,0.50,0.36
100.00,66.00,81.00,112.00,2.20,0.60,0.22,0.19,0.07,-79.00,-101.00,0.40,8.50,0.25,343.00,0.24,227.00,0.23,0.50,0.15,0.16
400.00,72.00,74.00,154.00,3.10,0.60,0.19,0.22,0.14,-45.00,-19.00,-2.00,9.40,0.27,393.00,0.24,270.00,0.24,0.50,0.19,0.17
200.00,14.00,35.00,55.00,2.00,0.67,0.14,0.24,0.31,54.00,96.00,4.80,6.10,0.16,205.00,0.14,210.00,0.19,0.41,0.32,0.47
400.00,98.00,65.00,190.00,4.40,0.66,0.22,0.17,0.26,62.00,2.00,1.00,9.70,0.28,576.00,0.32,288.00,0.25,0.47,0.13,0.27
200.00,44.00,93.00,206.00,2.70,0.69,0.12,0.26,0.32,14.00,-25.00,1.40,1.70,0.05,125.00,0.07,120.00,0.10,1.60,0.54,0.44
600.00,63.00,55.00,110.00,3.10,0.75,0.27,0.19,0.28,126.00,143.00,3.40,9.60,0.28,449.00,0.26,274.00,0.25,0.48,0.14,0.26
700.00,95.00,55.00,172.00,4.90,0.74,0.26,0.17,0.15,27.00,72.00,0.40,8.40,0.22,382.00,0.23,246.00,0.22,0.50,0.22,0.21
0.00,56.00,81.00,118.00,2.10,0.65,0.21,0.22,0.15,-94.00,-137.00,-4.20,9.20,0.27,382.00,0.26,247.00,0.25,0.54,0.21,0.22
300.00,36.00,86.00,247.00,3.30,0.63,0.08,0.23,0.28,38.00,-21.00,0.40,1.50,0.05,118.00,0.07,113.00,0.10,1.47,0.48,0.36
400.00,46.00,37.00,77.00,3.30,0.68,0.26,0.26,0.39,237.00,305.00,9.00,6.10,0.17,246.00,0.14,231.00,0.19,0.41,0.32,0.44
400.00,88.00,81.00,138.00,2.80,0.77,0.30,0.18,0.20,-68.00,-178.00,-4.90,8.60,0.25,390.00,0.24,237.00,0.24,0.59,0.25,0.24
100.00,24.00,75.00,178.00,2.70,0.69,0.08,0.17,0.21,-16.00,-11.00,-0.30,1.80,0.06,122.00,0.09,102.00,0.10,1.63,0.57,0.41
200.00,25.00,74.00,273.00,4.00,0.71,0.06,0.18,0.27,-18.00,-19.00,0.30,1.80,0.06,123.00,0.08,120.00,0.11,1.53,0.55,0.44
1100.00,98.00,73.00,132.00,3.20,0.57,0.24,0.21,0.28,219.00,119.00,4.80,9.30,0.26,450.00,0.27,277.00,0.24,0.56,0.24,0.21
600.00,114.00,74.00,174.00,3.90,0.62,0.25,0.20,0.20,113.00,111.00,5.50,9.60,0.28,450.00,0.27,286.00,0.25,0.52,0.15,0.19
0.00,22.00,10.00,47.00,6.90,0.71,0.23,0.11,0.18,-204.00,-301.00,-12.40,9.50,0.29,356.00,0.22,273.00,0.25,0.59,0.17,0.28
900.00,117.00,66.00,219.00,5.10,0.72,0.25,0.18,0.15,-8.00,196.00,2.30,9.10,0.25,453.00,0.28,260.00,0.23,0.58,0.18,0.32
900.00,108.00,91.00,206.00,3.50,0.75,0.26,0.22,0.27,-78.00,-119.00,-5.40,9.00,0.26,450.00,0.27,263.00,0.24,0.50,0.17,0.22
