"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"ADD","MVP","Top",41,"44%",,89,126,216,2.4,"69.6%","20.3%","24.5%","27%",-160,-334,-8.5,6.7,"24.1%",443,"21.6%",,233,"20.9%",,0.56,0.14,0.16
"Ambition","Samsung Galaxy","Jungle",40,"60%",,63,95,232,3.1,"70.4%","15.0%","21.3%","38%",38,160,0.4,4.8,"14.8%",341,"16.6%",,230,"19.9%",,0.81,0.17,0.54
"Arrow","KT Rolster","ADC",44,"66%",,171,77,262,5.6,"71.1%","28.1%","18.0%","20%",33,8,-1.9,8.4,"27.3%",523,"25.2%",,276,"23.4%",,0.48,0.14,0.24
"Bang","SK Telecom T1","ADC",41,"68%",,151,61,233,6.3,"73.7%","29.0%","14.3%","22%",37,88,4.2,9.2,"29.6%",712,"30.4%",,297,"24.6%",,0.44,0.07,0.19
"Bdd","CJ Entus","Middle",27,"26%",,90,63,116,3.3,"79.2%","34.6%","18.8%","19%",16,10,-0.5,8.2,"25.9%",539,"29.5%",,247,"23.1%",,0.46,0.09,0.12
"Bengi","SK Telecom T1","Jungle",14,"57%",,27,31,81,3.5,"73.5%","18.4%","23.7%","43%",-154,-174,-2.9,4.1,"12.6%",327,"14.4%",,213,"18.5%",,0.73,0.13,0.52
"Beyond","MVP","Jungle",41,"44%",,89,124,251,2.7,"77.6%","20.3%","24.1%","37%",-42,185,1.3,5,"17.0%",359,"17.3%",,236,"21.3%",,0.65,0.11,0.4
"Blanc","Jin Air Green Wings","Middle",8,"50%",,11,12,24,2.9,"60.3%","19.0%","25.0%","13%",49,-210,-6,9,"28.7%",502,"29.7%",,257,"23.2%",,0.49,0.11,0.16
"Blank","SK Telecom T1","Jungle",27,"74%",,54,72,209,3.7,"70.3%","14.4%","24.3%","22%",-127,-253,-1.5,4.4,"13.4%",328,"14.4%",,229,"18.5%",,0.87,0.18,0.58
"Bless","ESC Ever","Jungle",45,"36%",,83,113,198,2.5,"72.2%","21.3%","22.6%","31%",0,-80,0.6,4.5,"14.1%",338,"19.7%",,212,"20.0%",,0.59,0.12,0.53
"Bubbling","CJ Entus","Jungle",1,"0%",,1,2,5,3,"85.7%","14.3%","11.8%","0%",-1452,-1215,-22,3.5,"13.8%",314,"22.0%",,160,"19.2%",,0.98,0.29,0.46
"Chaser","Longzhu Gaming","Jungle",23,"26%",,47,50,126,3.5,"77.9%","21.2%","19.5%","35%",114,69,1.4,4.2,"13.5%",305,"15.6%",,209,"19.9%",,0.82,0.23,0.52
"Chei","Jin Air Green Wings","Support",37,"41%",,12,86,207,2.5,"71.3%","3.9%","24.2%","22%",-73,-37,-0.3,0.9,"3.2%",105,"6.1%",,115,"10.6%",,1.54,0.43,0.36
"Coco","Longzhu Gaming","Middle",24,"25%",,65,54,113,3.3,"75.7%","27.7%","19.9%","33%",31,103,4.1,8.4,"26.7%",584,"28.7%",,245,"23.3%",,0.43,0.1,0.22
"CoreJJ","Samsung Galaxy","Support",3,"0%",,1,9,2,0.3,"100.0%","33.3%","25.0%","0%",-89,505,-6.3,0.7,"2.9%",199,"13.9%",,92,"10.0%",,1.56,0.37,0.47
"Crash","Longzhu Gaming","Jungle",18,"56%",,50,32,85,4.2,"76.7%","28.4%","19.5%","44%",273,362,4.5,5.5,"17.4%",328,"15.4%",,260,"21.9%",,0.73,0.13,0.53
"Crazy","ESC Ever","Top",44,"36%",,55,82,185,2.9,"62.5%","14.3%","16.6%","16%",-59,-94,0.9,7.4,"26.5%",372,"21.5%",,229,"21.6%",,0.55,0.11,0.13
"Crown","Samsung Galaxy","Middle",40,"60%",,135,89,159,3.3,"70.2%","32.2%","19.9%","20%",121,116,4.3,8.9,"27.0%",657,"31.8%",,272,"23.5%",,0.47,0.11,0.21
"CuVee","Samsung Galaxy","Top",37,"59%",,83,90,155,2.6,"63.0%","22.0%","22.2%","22%",73,125,1.1,7.9,"26.1%",387,"19.4%",,254,"21.9%",,0.54,0.1,0.14
"Duke","SK Telecom T1","Top",41,"68%",,103,90,220,3.6,"62.0%","19.8%","21.1%","15%",165,273,6.6,8.2,"27.7%",455,"19.7%",,268,"22.4%",,0.45,0.06,0.12
"Emperor","Longzhu Gaming","ADC",8,"25%",,19,22,31,2.3,"76.9%","29.2%","23.9%","13%",-220,-100,-1.4,8.4,"27.8%",502,"27.1%",,253,"23.8%",,0.39,0.07,0.25
