MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
400.00,168.00,78.00,183.00,4.50,0.73,0.35,0.15,0.16,-1.00,-10.00,1.40,9.60,0.33,608.00,0.32,304.00,0.28,0.51,0.14,0.43
1300.00,168.00,68.00,251.00,6.20,0.64,0.26,0.17,0.23,-10.00,22.00,2.70,8.80,0.24,522.00,0.26,291.00,0.24,0.46,0.25,0.22
300.00,11.00,96.00,305.00,3.30,0.66,0.02,0.21,0.26,-113.00,4.00,-5.30,0.90,0.02,141.00,0.08,87.00,0.08,1.53,0.51,0.25
600.00,81.00,75.00,309.00,5.20,0.60,0.13,0.25,0.15,241.00,2.00,11.30,2.30,0.07,222.00,0.10,150.00,0.12,1.56,0.43,0.53
0.00,71.00,132.00,263.00,2.50,0.70,0.15,0.21,0.20,-113.00,-69.00,-0.40,5.00,0.14,208.00,0.11,168.00,0.16,0.47,0.39,0.46
300.00,65.00,79.00,173.00,3.00,0.68,0.19,0.21,0.61,34.00,-20.00,-0.60,5.30,0.15,210.00,0.11,184.00,0.17,0.62,0.45,0.50
0.00,33.00,67.00,101.00,2.00,0.76,0.19,0.27,0.38,-130.00,-263.00,-4.10,4.00,0.10,204.00,0.11,146.00,0.15,0.52,0.48,0.30
1000.00,142.00,70.00,220.00,5.20,0.62,0.24,0.19,0.29,94.00,-8.00,-0.50,8.80,0.26,470.00,0.25,287.00,0.24,0.40,0.16,0.21
1000.00,118.00,62.00,314.00,7.00,0.67,0.18,0.21,0.46,393.00,463.00,8.30,6.10,0.17,329.00,0.16,240.00,0.18,0.54,0.32,0.40
1000.00,152.00,94.00,246.00,4.20,0.65,0.25,0.19,0.24,203.00,181.00,7.60,9.80,0.28,532.00,0.26,309.00,0.26,0.39,0.14,0.40
200.00,117.00,80.00,307.00,5.30,0.65,0.18,0.20,0.21,-21.00,59.00,-0.70,5.60,0.16,280.00,0.14,212.00,0.18,0.72,0.39,0.53
300.00,60.00,21.00,69.00,6.10,0.55,0.26,0.19,0.14,138.00,226.00,0.50,9.00,0.24,482.00,0.25,286.00,0.23,0.41,0.16,0.14
0.00,22.00,44.00,28.00,1.10,0.58,0.26,0.28,0.00,-188.00,-97.00,-4.90,7.60,0.22,358.00,0.26,214.00,0.22,0.53,0.29,0.22
500.00,75.00,60.00,220.00,4.90,0.63,0.16,0.21,0.43,121.00,135.00,4.60,5.70,0.14,264.00,0.14,199.00,0.17,0.54,0.35,0.54
500.00,157.00,87.00,259.00,4.80,0.67,0.25,0.18,0.24,137.00,128.00,3.50,9.20,0.28,565.00,0.27,296.00,0.24,0.53,0.17,0.36
200.00,115.00,102.00,214.00,3.20,0.69,0.24,0.17,0.09,-208.00,-96.00,-5.60,8.90,0.30,461.00,0.25,267.00,0.26,0.39,0.12,0.28
600.00,137.00,126.00,218.00,2.80,0.58,0.22,0.26,0.18,-16.00,18.00,2.40,8.70,0.25,435.00,0.22,280.00,0.23,0.43,0.14,0.19
200.00,75.00,113.00,110.00,1.60,0.61,0.25,0.23,0.23,-55.00,-4.00,-0.90,7.90,0.25,405.00,0.24,239.00,0.24,0.49,0.23,0.16
500.00,33.00,90.00,323.00,4.00,0.64,0.06,0.26,0.38,83.00,28.00,0.10,1.20,0.03,123.00,0.07,105.00,0.09,1.85,0.52,0.54
300.00,74.00,51.00,152.00,4.40,0.64,0.21,0.20,0.21,36.00,-28.00,0.80,8.90,0.24,480.00,0.26,275.00,0.24,0.56,0.24,0.26
500.00,116.00,60.00,148.00,4.40,0.72,0.31,0.15,0.12,39.00,54.00,2.50,9.00,0.27,536.00,0.29,277.00,0.26,0.50,0.19,0.23
100.00,54.00,111.00,124.00,1.60,0.65,0.20,0.20,0.34,-152.00,-186.00,-3.20,5.20,0.15,244.00,0.15,169.00,0.18,0.65,0.42,0.52
500.00,106.00,91.00,240.00,3.80,0.70,0.22,0.18,0.24,-76.00,-157.00,-4.60,8.00,0.22,429.00,0.23,241.00,0.22,0.45,0.21,0.20
200.00,116.00,56.00,291.00,7.30,0.63,0.18,0.19,0.10,-192.00,52.00,-12.90,8.20,0.24,460.00,0.22,280.00,0.21,0.59,0.19,0.25
100.00,12.00,117.00,261.00,2.30,0.65,0.03,0.23,0.25,-76.00,-51.00,-2.50,1.00,0.02,126.00,0.07,84.00,0.08,1.60,0.51,0.22
100.00,46.00,135.00,268.00,2.30,0.66,0.10,0.22,0.09,-66.00,-20.00,0.40,1.50,0.05,194.00,0.11,102.00,0.10,1.76,0.48,0.41
0.00,25.00,51.00,54.00,1.50,0.64,0.20,0.24,0.13,-57.00,10.00,-2.90,5.20,0.14,213.00,0.14,168.00,0.18,0.67,0.39,0.41
100.00,64.00,75.00,65.00,1.70,0.60,0.30,0.16,0.25,-128.00,-173.00,-1.60,10.20,0.36,409.00,0.25,286.00,0.30,0.30,0.07,0.35
100.00,77.00,187.00,137.00,1.10,0.62,0.22,0.26,0.15,-313.00,-157.00,-7.70,7.00,0.23,393.00,0.24,203.00,0.21,0.39,0.12,0.15
800.00,45.00,81.00,401.00,5.50,0.72,0.07,0.17,0.29,108.00,19.00,1.90,1.40,0.04,192.00,0.09,115.00,0.10,1.66,0.54,0.36
400.00,119.00,109.00,170.00,2.70,0.59,0.24,0.21,0.20,44.00,120.00,4.40,8.40,0.26,451.00,0.24,258.00,0.24,0.41,0.15,0.20
100.00,41.00,46.00,124.00,3.60,0.65,0.16,0.16,0.20,-66.00,-92.00,-5.80,8.30,0.24,411.00,0.23,244.00,0.22,0.49,0.24,0.28
400.00,126.00,90.00,198.00,3.60,0.68,0.26,0.15,0.16,-58.00,-75.00,1.50,8.60,0.26,451.00,0.25,254.00,0.25,0.51,0.25,0.31
0.00,18.00,41.00,58.00,1.90,0.64,0.15,0.18,0.07,-175.00,-192.00,-6.80,7.70,0.22,424.00,0.25,210.00,0.22,0.51,0.26,0.20
100.00,24.00,111.00,247.00,2.40,0.69,0.06,0.17,0.17,-34.00,104.00,0.20,1.20,0.03,137.00,0.08,89.00,0.09,1.73,0.53,0.38
300.00,29.00,82.00,310.00,4.10,0.60,0.05,0.25,0.25,-32.00,-223.00,-4.90,0.90,0.02,141.00,0.07,103.00,0.08,1.54,0.50,0.35
0.00,19.00,41.00,63.00,2.00,0.63,0.15,0.28,0.00,-265.00,-91.00,0.90,5.50,0.15,282.00,0.15,188.00,0.17,0.62,0.42,0.41
0.00,7.00,67.00,67.00,1.10,0.56,0.05,0.24,0.31,-58.00,-42.00,-4.80,1.20,0.04,209.00,0.11,80.00,0.08,1.72,0.55,0.43
300.00,67.00,105.00,100.00,1.60,0.66,0.27,0.19,0.30,-139.00,-87.00,-3.70,8.20,0.26,406.00,0.26,230.00,0.24,0.48,0.24,0.28
400.00,62.00,88.00,116.00,2.00,0.65,0.23,0.21,0.21,-225.00,-52.00,-6.60,8.40,0.25,394.00,0.24,238.00,0.23,0.52,0.25,0.18
500.00,174.00,105.00,177.00,3.30,0.71,0.35,0.20,0.22,50.00,-47.00,4.80,10.10,0.34,600.00,0.32,315.00,0.29,0.37,0.10,0.48
500.00,172.00,73.00,208.00,5.20,0.59,0.27,0.25,0.23,349.00,240.00,6.30,9.10,0.28,571.00,0.27,333.00,0.26,0.40,0.14,0.21
500.00,92.00,101.00,221.00,3.10,0.73,0.21,0.19,0.36,-88.00,-102.00,-3.30,5.30,0.15,221.00,0.12,184.00,0.18,0.53,0.42,0.64
300.00,126.00,103.00,319.00,4.30,0.72,0.20,0.21,0.38,121.00,91.00,2.90,6.10,0.16,326.00,0.16,218.00,0.18,0.55,0.28,0.44
500.00,122.00,96.00,262.00,4.00,0.59,0.19,0.24,0.35,161.00,131.00,2.10,8.40,0.24,409.00,0.21,268.00,0.22,0.41,0.19,0.21
900.00,120.00,158.00,199.00,2.00,0.67,0.25,0.26,0.23,-106.00,-134.00,-2.80,7.90,0.25,497.00,0.28,244.00,0.24,0.36,0.10,0.25
300.00,104.00,89.00,178.00,3.20,0.65,0.24,0.16,0.17,-112.00,-91.00,-4.10,9.30,0.30,462.00,0.26,272.00,0.25,0.50,0.25,0.47
700.00,209.00,67.00,235.00,6.60,0.68,0.32,0.16,0.21,241.00,211.00,11.30,10.30,0.33,641.00,0.32,338.00,0.28,0.47,0.17,0.47
0.00,11.00,83.00,124.00,1.60,0.63,0.05,0.18,0.25,-149.00,-7.00,-2.20,1.00,0.02,153.00,0.10,80.00,0.08,1.61,0.49,0.28
1100.00,162.00,29.00,302.00,16.00,0.72,0.25,0.10,0.31,278.00,181.00,4.20,8.90,0.24,561.00,0.26,309.00,0.24,0.37,0.17,0.19
400.00,77.00,73.00,120.00,2.70,0.64,0.25,0.22,0.28,15.00,-146.00,-3.90,7.70,0.23,469.00,0.24,248.00,0.22,0.41,0.17,0.19
200.00,42.00,37.00,72.00,3.10,0.66,0.24,0.18,0.28,-159.00,-47.00,-2.60,8.10,0.25,428.00,0.25,243.00,0.23,0.51,0.21,0.19
400.00,76.00,96.00,262.00,3.50,0.71,0.16,0.21,0.41,-69.00,-122.00,-2.70,5.30,0.15,256.00,0.14,186.00,0.17,0.61,0.37,0.62
300.00,90.00,143.00,169.00,1.80,0.60,0.21,0.26,0.21,-41.00,-58.00,1.40,8.30,0.25,473.00,0.27,242.00,0.23,0.42,0.25,0.31
200.00,183.00,53.00,230.00,7.80,0.71,0.31,0.15,0.29,174.00,14.00,1.20,10.60,0.33,564.00,0.30,331.00,0.28,0.56,0.18,0.38
0.00,31.00,48.00,48.00,1.60,0.60,0.24,0.17,0.31,24.00,-71.00,-1.70,8.70,0.30,453.00,0.26,245.00,0.25,0.38,0.14,0.36
300.00,16.00,113.00,283.00,2.60,0.71,0.04,0.24,0.18,19.00,221.00,1.30,1.40,0.04,152.00,0.08,102.00,0.09,1.83,0.51,0.44
100.00,48.00,48.00,97.00,3.00,0.65,0.21,0.19,0.11,-31.00,-39.00,0.10,9.10,0.27,484.00,0.23,269.00,0.25,0.32,0.17,0.23
100.00,114.00,86.00,144.00,3.00,0.66,0.29,0.13,0.17,-30.00,-29.00,1.00,10.30,0.36,526.00,0.32,294.00,0.29,0.49,0.23,0.40
0.00,19.00,45.00,43.00,1.40,0.67,0.21,0.25,0.40,-328.00,-466.00,-8.40,4.60,0.12,202.00,0.12,162.00,0.16,0.56,0.54,0.45
