MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
500.00,89.00,126.00,216.00,2.40,0.70,0.20,0.25,0.27,-160.00,-334.00,-8.50,6.70,0.24,443.00,0.22,233.00,0.21,0.56,0.14,0.16
200.00,63.00,95.00,232.00,3.10,0.70,0.15,0.21,0.38,38.00,160.00,0.40,4.80,0.15,341.00,0.17,230.00,0.20,0.81,0.17,0.54
200.00,171.00,77.00,262.00,5.60,0.71,0.28,0.18,0.20,33.00,8.00,-1.90,8.40,0.27,523.00,0.25,276.00,0.23,0.48,0.14,0.24
800.00,151.00,61.00,233.00,6.30,0.74,0.29,0.14,0.22,37.00,88.00,4.20,9.20,0.30,712.00,0.30,297.00,0.25,0.44,0.07,0.19
300.00,90.00,63.00,116.00,3.30,0.79,0.35,0.19,0.19,16.00,10.00,-0.50,8.20,0.26,539.00,0.30,247.00,0.23,0.46,0.09,0.12
100.00,27.00,31.00,81.00,3.50,0.74,0.18,0.24,0.43,-154.00,-174.00,-2.90,4.10,0.13,327.00,0.14,213.00,0.19,0.73,0.13,0.52
800.00,89.00,124.00,251.00,2.70,0.78,0.20,0.24,0.37,-42.00,185.00,1.30,5.00,0.17,359.00,0.17,236.00,0.21,0.65,0.11,0.40
200.00,54.00,72.00,209.00,3.70,0.70,0.14,0.24,0.22,-127.00,-253.00,-1.50,4.40,0.13,328.00,0.14,229.00,0.19,0.87,0.18,0.58
400.00,83.00,113.00,198.00,2.50,0.72,0.21,0.23,0.31,0.00,-80.00,0.60,4.50,0.14,338.00,0.20,212.00,0.20,0.59,0.12,0.53
0.00,47.00,50.00,126.00,3.50,0.78,0.21,0.20,0.35,114.00,69.00,1.40,4.20,0.14,305.00,0.16,209.00,0.20,0.82,0.23,0.52
200.00,12.00,86.00,207.00,2.50,0.71,0.04,0.24,0.22,-73.00,-37.00,-0.30,0.90,0.03,105.00,0.06,115.00,0.11,1.54,0.43,0.36
