"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",43,"44%","56%",184,92,177,3.9,"69.8%","35.6%","17.1%","26%",31,-26,1,10.1,"33.6%",552,"30.0%","33.9%",324,"28.4%",0,0.57,0.16,0.44
"Aria","KT Rolster","Middle",29,"41%","38%",58,61,141,3.3,"62.8%","18.3%","16.8%","17%",-153,-48,-7.7,8,"23.0%",395,"22.9%","22.1%",238,"21.8%",0,0.65,0.31,0.34
"Baut","Hanwha Life Esports","Support",5,"20%","80%",2,15,29,2.1,"58.5%","3.8%","25.0%","20%",-5,117,-0.6,1,"1.8%",109,"6.7%","5.7%",91,"8.4%",0,1.77,0.56,0.29
"Bdd","Nongshim RedForce","Middle",40,"38%","68%",92,84,176,3.2,"61.6%","21.1%","16.4%","18%",15,2,1.6,8.4,"24.0%",419,"24.4%","24.4%",245,"22.8%",0,0.52,0.27,0.24
"BeryL","DRX","Support",40,"53%","80%",23,126,282,2.4,"69.8%","5.3%","26.8%","33%",-21,81,2.4,1.2,"2.9%",131,"7.1%","6.1%",102,"9.2%",0,1.7,0.56,0.49
"Blessing","Nongshim RedForce","Support",1,"0%","100%",0,6,9,1.5,"81.8%","0.0%","31.6%","0%",274,156,2,1,"2.3%",124,"6.8%","6.2%",79,"6.9%",0,2.03,0.91,0.36
"Burdol","Dplus KIA","Top",36,"67%","50%",73,75,153,3,"53.2%","17.2%","23.7%","11%",-87,65,-3.6,8.1,"24.5%",418,"24.2%","22.2%",244,"21.5%",0,0.35,0.21,0.25
"Canna","Nongshim RedForce","Top",41,"39%","44%",119,106,156,2.6,"60.8%","26.3%","19.7%","20%",202,178,2.6,8.8,"27.2%",519,"29.3%","28.2%",275,"25.3%",0,0.38,0.22,0.18
"Canyon","Dplus KIA","Jungle",42,"64%","57%",106,86,266,4.3,"72.4%","20.6%","21.3%","38%",158,180,3.4,6.3,"16.7%",284,"16.1%","17.0%",208,"18.6%",12,0.43,0.37,0.35
"Cheoni","Hanwha Life Esports","ADC",4,"0%","50%",7,10,14,2.1,"56.8%","18.9%","15.2%","25%",-41,-14,-1,9.9,"34.1%",352,"23.5%","26.2%",286,"27.4%",0,0.45,0.17,0.3
"Chovy","Gen.G","Middle",32,"75%","63%",140,41,196,8.2,"71.8%","29.9%","13.0%","22%",159,87,5.2,9.6,"27.5%",606,"28.7%","28.4%",318,"25.6%",0,0.57,0.11,0.51
"Chovy","Gen.G","Top",2,"0%","100%",4,8,7,1.4,"47.8%","17.4%","23.5%","0%",-89,-246,4.5,9.4,"29.4%",418,"18.5%","15.7%",281,"26.1%",0,0.31,0.15,0.34
"Clear","DRX","Top",1,"100%","100%",2,5,4,1.2,"46.2%","15.4%","45.5%","0%",-639,-274,-4,8.1,"21.1%",678,"26.7%","25.4%",220,"18.6%",0,0.3,0.24,0.3
"Clozer","Liiv SANDBOX","Middle",36,"31%","22%",80,103,134,2.1,"66.7%","24.9%","19.5%","33%",-151,-115,-1.6,8.9,"27.3%",456,"28.2%","29.3%",258,"24.6%",0,0.38,0.14,0.18
"Clozer","Liiv SANDBOX","Top",1,"0%","100%",1,4,0,0.3,"25.0%","25.0%","23.5%","0%",-114,-30,2,9.2,"27.2%",496,"36.8%","34.9%",233,"24.3%",0,0.3,0.05,0.15
"Croco","Liiv SANDBOX","Jungle",37,"30%","62%",80,99,166,2.5,"75.7%","24.6%","18.2%","35%",-73,-54,1.3,5.7,"14.9%",237,"14.5%","14.7%",194,"18.8%",2,0.38,0.29,0.43
"Cuzz","KT Rolster","Jungle",40,"45%","48%",80,94,247,3.5,"67.0%","16.4%","19.4%","35%",-39,-22,0.4,5.8,"14.7%",248,"13.9%","14.3%",194,"17.2%",3,0.4,0.32,0.46
"Deft","DRX","ADC",40,"55%","38%",158,79,165,4.1,"72.4%","35.4%","17.0%","25%",69,80,4.3,9.8,"31.9%",541,"28.7%","31.4%",309,"27.5%",1,0.49,0.16,0.34
"Delight","BRION","Support",43,"49%","60%",34,123,311,2.8,"70.0%","6.9%","26.2%","33%",13,-61,0.7,1.2,"3.2%",126,"7.3%","6.5%",101,"9.1%",0,1.82,0.59,0.52
"deokdam","Dplus KIA","ADC",42,"64%","52%",177,64,171,5.4,"67.7%","34.4%","15.9%","24%",207,-16,-0.1,9.4,"32.0%",508,"28.2%","30.4%",310,"27.4%",0,0.39,0.12,0.35
"DnDn","Nongshim RedForce","Top",2,"0%","50%",1,5,2,0.6,"50.0%","16.7%","16.7%","0%",-580,-636,-20.5,8.2,"26.4%",274,"22.5%","12.9%",201,"22.7%",0,0.49,0.33,0.17
