MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
1000.00,94.00,90.00,203.00,3.30,0.74,0.23,0.21,0.34,170.00,318.00,4.00,5.00,0.15,386.00,0.21,236.00,0.21,0.77,0.17,0.64
300.00,151.00,69.00,236.00,5.60,0.70,0.27,0.15,0.21,10.00,91.00,1.90,8.90,0.28,497.00,0.25,277.00,0.24,0.57,0.11,0.37
600.00,149.00,54.00,191.00,6.30,0.70,0.31,0.15,0.24,80.00,70.00,2.70,9.30,0.29,590.00,0.29,296.00,0.24,0.53,0.06,0.25
300.00,60.00,57.00,120.00,3.20,0.83,0.28,0.21,0.09,-76.00,-17.00,-0.60,7.80,0.26,500.00,0.28,236.00,0.23,0.60,0.07,0.18
0.00,22.00,40.00,112.00,3.40,0.67,0.11,0.25,0.35,-278.00,-340.00,-3.90,3.70,0.12,268.00,0.13,194.00,0.17,0.85,0.11,0.58
500.00,71.00,41.00,134.00,5.00,0.71,0.25,0.19,0.33,26.00,-30.00,1.50,4.40,0.14,340.00,0.17,235.00,0.19,0.93,0.18,0.61
200.00,60.00,123.00,246.00,2.50,0.68,0.13,0.23,0.26,-252.00,-289.00,-4.90,3.70,0.12,277.00,0.15,190.00,0.18,0.84,0.17,0.54
100.00,62.00,64.00,172.00,3.70,0.76,0.20,0.21,0.50,59.00,54.00,0.20,4.40,0.14,301.00,0.16,220.00,0.20,0.89,0.25,0.54
100.00,27.00,82.00,286.00,3.80,0.74,0.06,0.23,0.29,18.00,84.00,0.50,1.10,0.04,107.00,0.06,124.00,0.11,1.45,0.39,0.42
600.00,90.00,76.00,131.00,2.90,0.68,0.28,0.23,0.33,11.00,-78.00,-0.60,8.80,0.27,574.00,0.30,267.00,0.24,0.66,0.10,0.24
200.00,56.00,42.00,122.00,4.20,0.75,0.23,0.17,0.14,-43.00,179.00,-0.70,9.00,0.27,460.00,0.25,263.00,0.23,0.53,0.05,0.29
100.00,75.00,48.00,103.00,3.70,0.63,0.26,0.19,0.18,43.00,-93.00,1.10,9.20,0.29,561.00,0.29,283.00,0.24,0.46,0.06,0.28
200.00,28.00,31.00,57.00,2.70,0.73,0.24,0.29,0.18,324.00,621.00,7.00,4.70,0.14,347.00,0.19,246.00,0.20,0.85,0.15,0.51
400.00,113.00,87.00,188.00,3.50,0.75,0.28,0.21,0.20,-24.00,40.00,0.60,9.20,0.29,557.00,0.31,279.00,0.25,0.62,0.12,0.23
500.00,76.00,104.00,193.00,2.60,0.67,0.19,0.25,0.14,-32.00,-195.00,-2.30,7.80,0.25,357.00,0.19,243.00,0.21,0.57,0.12,0.15
600.00,96.00,75.00,222.00,4.20,0.65,0.20,0.20,0.17,64.00,266.00,4.10,8.30,0.27,388.00,0.19,267.00,0.22,0.44,0.06,0.14
400.00,46.00,43.00,108.00,3.60,0.65,0.19,0.19,0.27,189.00,223.00,5.40,7.80,0.27,345.00,0.19,248.00,0.22,0.50,0.08,0.17
700.00,135.00,86.00,226.00,4.20,0.74,0.28,0.24,0.20,26.00,17.00,4.10,9.00,0.27,638.00,0.32,301.00,0.25,0.55,0.08,0.28
200.00,43.00,37.00,79.00,3.30,0.65,0.23,0.20,0.06,114.00,80.00,4.80,7.70,0.27,377.00,0.20,256.00,0.22,0.57,0.13,0.15
300.00,53.00,125.00,148.00,1.60,0.70,0.18,0.24,0.34,-157.00,-195.00,-1.80,4.10,0.13,271.00,0.17,189.00,0.19,0.90,0.26,0.62
600.00,109.00,88.00,294.00,4.60,0.73,0.20,0.19,0.37,-68.00,-16.00,-3.30,8.10,0.25,497.00,0.25,254.00,0.22,0.55,0.14,0.22
300.00,22.00,15.00,49.00,4.70,0.70,0.22,0.16,0.20,159.00,-32.00,0.30,8.80,0.26,482.00,0.28,282.00,0.23,0.54,0.09,0.22
0.00,40.00,28.00,52.00,3.30,0.66,0.29,0.18,0.33,-26.00,-23.00,-1.50,8.70,0.29,502.00,0.27,260.00,0.24,0.51,0.09,0.33
100.00,22.00,80.00,430.00,5.70,0.72,0.04,0.22,0.37,17.00,123.00,0.10,1.10,0.04,117.00,0.06,147.00,0.11,1.33,0.29,0.29
0.00,35.00,99.00,355.00,3.90,0.74,0.07,0.23,0.28,46.00,-47.00,-0.20,1.10,0.04,121.00,0.06,130.00,0.11,1.34,0.31,0.45
1000.00,79.00,128.00,277.00,2.80,0.69,0.15,0.25,0.24,-68.00,-82.00,-4.00,7.10,0.23,380.00,0.20,232.00,0.20,0.50,0.09,0.18
600.00,170.00,71.00,175.00,4.90,0.77,0.38,0.13,0.17,-39.00,58.00,-0.50,9.60,0.33,617.00,0.33,295.00,0.27,0.62,0.08,0.38
600.00,161.00,60.00,268.00,7.20,0.69,0.26,0.17,0.41,120.00,42.00,-2.40,8.30,0.26,530.00,0.25,296.00,0.23,0.58,0.10,0.24
600.00,117.00,72.00,195.00,4.30,0.73,0.28,0.20,0.29,99.00,97.00,6.20,8.60,0.27,493.00,0.28,257.00,0.23,0.64,0.09,0.28
500.00,109.00,106.00,270.00,3.60,0.74,0.21,0.21,0.35,6.00,-34.00,-0.40,4.90,0.16,340.00,0.18,237.00,0.20,0.70,0.15,0.60
500.00,25.00,98.00,327.00,3.60,0.78,0.06,0.19,0.26,-9.00,-13.00,-0.30,1.00,0.04,114.00,0.07,120.00,0.11,1.17,0.28,0.39
500.00,127.00,109.00,232.00,3.30,0.70,0.25,0.21,0.30,89.00,6.00,0.10,8.90,0.28,504.00,0.27,285.00,0.24,0.55,0.11,0.22
300.00,90.00,76.00,122.00,2.80,0.74,0.31,0.15,0.17,-29.00,-120.00,-1.40,9.30,0.31,413.00,0.25,259.00,0.26,0.42,0.11,0.34
900.00,152.00,76.00,311.00,6.10,0.74,0.24,0.21,0.66,193.00,68.00,0.00,4.40,0.14,388.00,0.19,253.00,0.20,0.58,0.13,0.56
200.00,127.00,58.00,187.00,5.40,0.74,0.30,0.16,0.24,-6.00,8.00,-0.60,8.70,0.28,455.00,0.25,266.00,0.24,0.42,0.05,0.24
400.00,148.00,66.00,278.00,6.50,0.68,0.24,0.18,0.37,117.00,-97.00,1.10,9.00,0.29,537.00,0.26,303.00,0.23,0.50,0.05,0.23
200.00,18.00,66.00,263.00,4.30,0.72,0.05,0.18,0.36,-35.00,-63.00,-2.30,1.10,0.04,112.00,0.06,127.00,0.11,1.41,0.34,0.47
400.00,171.00,73.00,213.00,5.30,0.75,0.33,0.14,0.28,11.00,-4.00,0.70,9.20,0.29,523.00,0.28,293.00,0.25,0.45,0.08,0.24
300.00,79.00,107.00,140.00,2.00,0.76,0.27,0.21,0.24,-150.00,-72.00,-3.60,8.60,0.27,528.00,0.32,242.00,0.24,0.59,0.13,0.28
900.00,135.00,92.00,291.00,4.60,0.77,0.24,0.20,0.44,72.00,126.00,1.20,4.60,0.15,369.00,0.19,238.00,0.20,0.73,0.14,0.60
0.00,16.00,103.00,194.00,2.00,0.73,0.06,0.20,0.20,3.00,123.00,1.00,1.00,0.03,109.00,0.07,104.00,0.10,1.42,0.26,0.32
0.00,49.00,59.00,115.00,2.80,0.70,0.21,0.23,0.17,-96.00,-111.00,-2.80,8.80,0.28,462.00,0.26,260.00,0.24,0.55,0.10,0.19
1400.00,141.00,77.00,277.00,5.40,0.67,0.23,0.21,0.34,185.00,198.00,4.90,8.00,0.27,507.00,0.24,294.00,0.23,0.49,0.07,0.14
0.00,28.00,98.00,371.00,4.10,0.78,0.05,0.19,0.35,62.00,77.00,-1.40,1.10,0.04,141.00,0.08,132.00,0.11,1.17,0.23,0.45
0.00,11.00,30.00,52.00,2.10,0.66,0.12,0.21,0.20,34.00,159.00,5.30,7.30,0.25,309.00,0.17,220.00,0.21,0.49,0.07,0.17
0.00,39.00,75.00,89.00,1.70,0.67,0.20,0.20,0.19,-133.00,-191.00,-3.20,7.30,0.25,334.00,0.22,215.00,0.22,0.53,0.10,0.19
1100.00,124.00,104.00,279.00,3.90,0.73,0.22,0.23,0.26,35.00,-71.00,-0.70,8.10,0.28,487.00,0.25,273.00,0.23,0.56,0.10,0.20
0.00,44.00,33.00,62.00,3.20,0.65,0.27,0.19,0.06,-240.00,-75.00,-5.30,8.80,0.29,462.00,0.25,274.00,0.24,0.42,0.05,0.30
900.00,72.00,72.00,225.00,4.10,0.70,0.17,0.21,0.29,14.00,24.00,-1.10,7.50,0.25,431.00,0.24,242.00,0.22,0.51,0.11,0.17
300.00,87.00,123.00,239.00,2.70,0.72,0.19,0.23,0.13,3.00,74.00,3.60,7.40,0.25,332.00,0.18,224.00,0.21,0.53,0.07,0.17
500.00,83.00,70.00,232.00,4.50,0.74,0.20,0.20,0.40,143.00,124.00,2.00,4.80,0.16,298.00,0.17,228.00,0.20,0.79,0.18,0.69
200.00,15.00,71.00,321.00,4.70,0.69,0.03,0.19,0.17,-41.00,-106.00,0.20,1.40,0.05,104.00,0.05,133.00,0.11,1.35,0.29,0.50
0.00,18.00,67.00,257.00,4.10,0.69,0.05,0.16,0.14,-28.00,-111.00,1.30,1.10,0.04,79.00,0.04,115.00,0.10,1.57,0.34,0.47
