"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",43,"42%","47%",168,78,183,4.5,"73.4%","35.1%","14.7%","16%",-1,-10,1.4,9.6,"32.6%",608,"31.6%",,304,"27.9%",,0.51,0.14,0.43
"Bdd","Gen.G","Middle",43,"72%","58%",168,68,251,6.2,"64.3%","25.8%","16.7%","23%",-10,22,2.7,8.8,"24.2%",522,"26.2%",,291,"24.0%",,0.46,0.25,0.22
"Ben","Kwangdong Freecs","Support",39,"54%","38%",11,96,305,3.3,"66.1%","2.3%","20.6%","26%",-113,4,-5.3,0.9,"2.3%",141,"7.5%",,87,"7.9%",,1.53,0.51,0.25
"BeryL","Dplus KIA","Support",39,"87%","54%",81,75,309,5.2,"60.1%","12.5%","25.4%","15%",241,2,11.3,2.3,"7.3%",222,"10.2%",,150,"11.7%",,1.56,0.43,0.53
"Beyond","Team Dynamics","Jungle",44,"36%","45%",71,132,263,2.5,"69.9%","14.9%","21.4%","20%",-113,-69,-0.4,5,"13.5%",208,"11.4%",,168,"16.1%",,0.47,0.39,0.46
"bonO","KT Rolster","Jungle",33,"42%","55%",65,79,173,3,"68.4%","18.7%","20.7%","61%",34,-20,-0.6,5.3,"14.5%",210,"11.2%",,184,"17.0%",,0.62,0.45,0.5
"CaD","Hanwha Life Esports","Jungle",16,"25%","50%",33,67,101,2,"75.7%","18.6%","26.5%","38%",-130,-263,-4.1,4,"9.8%",204,"11.4%",,146,"14.6%",,0.52,0.48,0.3
"Canna","T1","Top",42,"67%","57%",142,70,220,5.2,"61.9%","24.3%","19.3%","29%",94,-8,-0.5,8.8,"26.2%",470,"24.7%",,287,"23.9%",,0.4,0.16,0.21
"Canyon","Dplus KIA","Jungle",39,"87%","51%",118,62,314,7,"66.6%","18.2%","21.0%","46%",393,463,8.3,6.1,"16.7%",329,"15.7%",,240,"18.4%",,0.54,0.32,0.4
"Chovy","DRX","Middle",45,"71%","49%",152,94,246,4.2,"64.5%","24.6%","19.1%","24%",203,181,7.6,9.8,"27.5%",532,"26.1%",,309,"25.5%",,0.39,0.14,0.4
"Clid","Gen.G","Jungle",43,"72%","44%",117,80,307,5.3,"65.0%","17.9%","19.6%","21%",-21,59,-0.7,5.6,"16.2%",280,"13.8%",,212,"17.5%",,0.72,0.39,0.53
"Clozer","T1","Middle",14,"86%","29%",60,21,69,6.1,"55.1%","25.6%","19.1%","14%",138,226,0.5,9,"24.3%",482,"25.3%",,286,"22.8%",,0.41,0.16,0.14
"CuVee","Hanwha Life Esports","Top",11,"9%","64%",22,44,28,1.1,"58.1%","25.6%","27.7%","0%",-188,-97,-4.9,7.6,"22.3%",358,"25.5%",,214,"21.7%",,0.53,0.29,0.22
"Cuzz","T1","Jungle",35,"69%","40%",75,60,220,4.9,"63.0%","16.0%","20.5%","43%",121,135,4.6,5.7,"14.2%",264,"14.2%",,199,"16.8%",,0.54,0.35,0.54
"Deft","DRX","ADC",45,"71%","60%",157,87,259,4.8,"67.4%","25.4%","17.7%","24%",137,128,3.5,9.2,"27.7%",565,"27.3%",,296,"24.2%",,0.53,0.17,0.36
"deokdam","Team Dynamics","ADC",44,"36%","41%",115,102,214,3.2,"68.8%","24.1%","16.5%","9%",-208,-96,-5.6,8.9,"30.4%",461,"25.3%",,267,"25.6%",,0.39,0.12,0.28
"Doran","DRX","Top",45,"71%","47%",137,126,218,2.8,"57.5%","22.2%","25.7%","18%",-16,18,2.4,8.7,"25.3%",435,"21.6%",,280,"23.0%",,0.43,0.14,0.19
"Dove","Liiv SANDBOX","Middle",9,"11%","67%",17,23,23,1.7,"64.5%","27.4%","17.7%","22%",-118,61,-1.1,8.7,"26.5%",410,"24.7%",,242,"25.7%",,0.52,0.26,0.23
"Dread","Kwangdong Freecs","Jungle",2,"0%","100%",7,6,5,2,"80.0%","46.7%","12.5%","50%",-355,-571,-7.5,6.4,"21.1%",412,"20.0%",,233,"23.8%",,0.3,0.32,0.58
"DuDu","Hanwha Life Esports","Top",31,"23%","52%",75,113,110,1.6,"60.5%","24.5%","23.2%","23%",-55,-4,-0.9,7.9,"25.2%",405,"23.7%",,239,"23.7%",,0.49,0.23,0.16
"Effort","T1","Support",40,"68%","55%",33,90,323,4,"64.0%","5.9%","26.2%","38%",83,28,0.1,1.2,"2.9%",123,"6.6%",,105,"8.7%",,1.85,0.52,0.54
"Ellim","T1","Jungle",7,"57%","29%",18,10,53,7.1,"60.7%","15.4%","14.3%","43%",144,-59,-0.6,5,"12.2%",217,"10.6%",,178,"15.1%",,0.54,0.39,0.43
"Faker","T1","Middle",28,"57%","43%",74,51,152,4.4,"64.4%","21.1%","20.2%","21%",36,-28,0.8,8.9,"23.5%",480,"25.6%",,275,"23.6%",,0.56,0.24,0.26
"FATE","Liiv SANDBOX","Middle",33,"48%","45%",116,60,148,4.4,"71.5%","31.4%","14.6%","12%",39,54,2.5,9,"27.4%",536,"29.4%",,277,"25.9%",,0.5,0.19,0.23
"Flawless","SeolHaeOne Prince","Jungle",32,"19%","47%",54,111,124,1.6,"65.2%","19.8%","20.4%","34%",-152,-186,-3.2,5.2,"14.6%",244,"14.5%",,169,"17.8%",,0.65,0.42,0.52
"Fly","Kwangdong Freecs","Middle",41,"51%","68%",106,91,240,3.8,"70.0%","21.5%","17.7%","24%",-76,-157,-4.6,8,"22.0%",429,"22.9%",,241,"22.1%",,0.45,0.21,0.2
"Ghost","Dplus KIA","ADC",39,"87%","62%",116,56,291,7.3,"62.7%","17.9%","19.0%","10%",-192,52,-12.9,8.2,"24.0%",460,"21.6%",,280,"20.8%",,0.59,0.19,0.25
"GorillA","Liiv SANDBOX","Support",40,"43%","43%",12,117,261,2.3,"65.0%","2.9%","23.4%","25%",-76,-51,-2.5,1,"2.4%",126,"7.2%",,84,"8.0%",,1.6,0.51,0.22
"GuGer","Team Dynamics","Support",44,"36%","43%",46,135,268,2.3,"65.7%","9.6%","21.9%","9%",-66,-20,0.4,1.5,"4.5%",194,"11.0%",,102,"9.7%",,1.76,0.48,0.41
"Haru","Hanwha Life Esports","Jungle",16,"19%","75%",25,51,54,1.5,"64.2%","20.3%","23.8%","13%",-57,10,-2.9,5.2,"14.3%",213,"13.7%",,168,"17.6%",,0.67,0.39,0.41
"HyBriD","SeolHaeOne Prince","ADC",28,"18%","68%",64,75,65,1.7,"59.7%","29.6%","16.4%","25%",-128,-173,-1.6,10.2,"35.8%",409,"25.3%",,286,"29.7%",,0.3,0.07,0.35
"ikssu","SeolHaeOne Prince","Top",41,"15%","37%",77,187,137,1.1,"61.5%","22.1%","25.5%","15%",-313,-157,-7.7,7,"22.7%",393,"23.9%",,203,"21.3%",,0.39,0.12,0.15
"Jelly","Kwangdong Freecs","Support",2,"0%","50%",1,12,6,0.6,"43.8%","6.3%","24.5%","0%",-368,-159,2,1.1,"2.4%",172,"9.4%",,73,"7.6%",,1.28,0.38,0.28
"Kabbie","Liiv SANDBOX","Support",2,"0%","50%",0,9,7,0.8,"63.6%","0.0%","21.4%","0%",-285,50,2,1.1,"1.6%",85,"4.9%",,63,"6.7%",,1.55,0.44,0.18
"Keine","SeolHaeOne Prince","Middle",8,"13%","13%",23,25,37,2.4,"62.5%","24.0%","14.5%","0%",-186,-141,-7,8,"26.2%",475,"22.8%",,232,"23.8%",,0.55,0.22,0.28
"Kellin","Gen.G","Support",7,"57%","29%",7,15,55,4.1,"68.1%","7.7%","20.5%","43%",21,-382,-7.1,1,"1.9%",160,"8.1%",,105,"8.6%",,2.13,0.67,0.31
"Keria","DRX","Support",45,"71%","47%",45,81,401,5.5,"72.3%","7.3%","16.5%","29%",108,19,1.9,1.4,"3.7%",192,"9.4%",,115,"9.5%",,1.66,0.54,0.36
"Kiin","Kwangdong Freecs","Top",41,"51%","56%",119,109,170,2.7,"58.5%","24.1%","21.2%","20%",44,120,4.4,8.4,"26.3%",451,"23.9%",,258,"24.0%",,0.41,0.15,0.2
"Kuma","SeolHaeOne Prince","Jungle",9,"0%","78%",14,33,36,1.5,"66.7%","18.7%","17.3%","33%",-42,53,0.2,5.3,"14.8%",298,"17.7%",,171,"18.7%",,0.54,0.37,0.42
"Kuri","T1","Support",2,"50%","100%",0,7,9,1.3,"31.0%","0.0%","38.9%","0%",-11,-285,-3,0.7,"1.1%",94,"5.0%",,79,"6.3%",,2.04,0.57,0.15
"Kuro","KT Rolster","Middle",25,"44%","48%",41,46,124,3.6,"65.0%","16.1%","16.3%","20%",-66,-92,-5.8,8.3,"23.7%",411,"22.7%",,244,"22.3%",,0.49,0.24,0.28
"Kuzan","Team Dynamics","Middle",44,"36%","57%",126,90,198,3.6,"67.8%","26.4%","14.6%","16%",-58,-75,1.5,8.6,"26.3%",451,"24.7%",,254,"24.9%",,0.51,0.25,0.31
"Lava","Hanwha Life Esports","Middle",14,"7%","29%",18,41,58,1.9,"64.4%","15.3%","18.4%","7%",-175,-192,-6.8,7.7,"22.0%",424,"24.8%",,210,"22.1%",,0.51,0.26,0.2
"Lehends","Hanwha Life Esports","Support",42,"19%","50%",24,111,247,2.4,"69.1%","6.1%","17.2%","17%",-34,104,0.2,1.2,"3.2%",137,"7.9%",,89,"8.9%",,1.73,0.53,0.38
"Life","Gen.G","Support",36,"75%","67%",29,82,310,4.1,"60.4%","5.2%","24.5%","25%",-32,-223,-4.9,0.9,"2.4%",141,"7.0%",,103,"8.4%",,1.54,0.5,0.35
"Malrang","KT Rolster","Jungle",10,"40%","20%",19,41,63,2,"63.1%","14.6%","27.5%","0%",-265,-91,0.9,5.5,"15.2%",282,"14.6%",,188,"17.0%",,0.62,0.42,0.41
"Mia","SeolHaeOne Prince","Support",13,"8%","62%",7,67,67,1.1,"56.1%","5.3%","24.3%","31%",-58,-42,-4.8,1.2,"3.6%",209,"10.9%",,80,"8.3%",,1.72,0.55,0.43
"Mickey","SeolHaeOne Prince","Middle",33,"15%","55%",67,105,100,1.6,"66.3%","26.6%","18.7%","30%",-139,-87,-3.7,8.2,"25.8%",406,"25.8%",,230,"24.2%",,0.48,0.24,0.28
"Mireu","Hanwha Life Esports","Middle",28,"25%","46%",62,88,116,2,"65.0%","22.6%","20.8%","21%",-225,-52,-6.6,8.4,"25.1%",394,"23.5%",,238,"22.9%",,0.52,0.25,0.18
"Mystic","Kwangdong Freecs","ADC",41,"51%","27%",174,105,177,3.3,"71.1%","35.2%","20.4%","22%",50,-47,4.8,10.1,"34.1%",600,"31.5%",,315,"28.6%",,0.37,0.1,0.48
"Nuguri","Dplus KIA","Top",39,"87%","44%",172,73,208,5.2,"58.6%","26.5%","24.7%","23%",349,240,6.3,9.1,"27.8%",571,"26.7%",,333,"25.5%",,0.4,0.14,0.21
"OnFleek","Liiv SANDBOX","Jungle",42,"40%","55%",92,101,221,3.1,"72.6%","21.3%","18.6%","36%",-88,-102,-3.3,5.3,"15.2%",221,"12.4%",,184,"17.7%",,0.53,0.42,0.64
"Pyosik","DRX","Jungle",45,"71%","60%",126,103,319,4.3,"72.1%","20.4%","21.0%","38%",121,91,2.9,6.1,"15.8%",326,"15.7%",,218,"17.8%",,0.55,0.28,0.44
"Rascal","Gen.G","Top",43,"72%","44%",122,96,262,4,"58.9%","18.7%","23.5%","35%",161,131,2.1,8.4,"24.4%",409,"20.6%",,268,"22.2%",,0.41,0.19,0.21
"Rich","Team Dynamics","Top",44,"36%","61%",120,158,199,2,"66.7%","25.1%","25.6%","23%",-106,-134,-2.8,7.9,"25.3%",497,"27.6%",,244,"23.8%",,0.36,0.1,0.25
"Route","Liiv SANDBOX","ADC",42,"40%","45%",104,89,178,3.2,"65.4%","24.1%","16.4%","17%",-112,-91,-4.1,9.3,"30.0%",462,"25.5%",,272,"25.4%",,0.5,0.25,0.47
