"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","Kwangdong Freecs","ADC",29,"34%","45%",93,57,100,3.4,"68.7%","33.1%","14.7%","24%",-6,-73,-4.6,9.8,"32.6%",504,"32.6%",,302,"28.3%",,0.48,0.16,0.47
"Bdd","KT Rolster","Middle",42,"31%","43%",115,101,193,3,"72.0%","26.9%","17.6%","21%",95,58,3.2,8.5,"24.2%",398,"24.9%",,247,"23.3%",,0.5,0.22,0.21
"BeryL","Dplus KIA","Support",13,"69%","31%",8,38,91,2.6,"66.9%","5.4%","30.2%","15%",-98,-14,-1.8,2.1,"6.8%",103,"6.2%",,126,"10.4%",,1.75,0.54,0.28
"bonO","Hanwha Life Esports","Jungle",38,"47%","45%",51,102,196,2.4,"69.8%","14.4%","24.9%","26%",-71,-2,-1.3,4.4,"10.7%",188,"12.5%",,165,"14.9%",,1.1,0.45,0.49
"Canyon","Dplus KIA","Jungle",28,"57%","57%",50,70,185,3.4,"70.4%","15.0%","23.3%","21%",-156,-136,-0.5,5.1,"12.9%",251,"14.4%",,193,"16.0%",,0.71,0.38,0.43
"CheonGo","Jin Air Green Wings","Middle",5,"0%","60%",3,21,7,0.5,"52.6%","15.8%","36.2%","20%",-336,-228,-5,8.7,"25.0%",245,"18.9%",,207,"22.1%",,0.54,0.29,0.26
"CheonGo","Jin Air Green Wings","Top",4,"0%","75%",9,8,17,3.3,"54.2%","18.8%","17.4%","0%",-537,-218,-10,7.7,"22.7%",233,"15.2%",,219,"20.6%",,0.68,0.26,0.2
"Chovy","Griffin","Middle",39,"79%","38%",134,33,219,10.7,"64.7%","24.5%","14.5%","33%",251,191,5.4,10.2,"26.5%",463,"26.3%",,307,"23.9%",,0.41,0.13,0.33
"Clid","SK Telecom T1","Jungle",44,"70%","48%",102,71,283,5.4,"75.5%","20.0%","19.8%","64%",103,44,0.1,5.1,"13.0%",221,"12.2%",,202,"16.6%",,1.12,0.38,0.56
"Crush","Liiv SANDBOX","Jungle",1,"0%","100%",1,5,4,1,"50.0%","10.0%","27.8%","0%",-458,-277,-3,4.7,"11.3%",175,"9.1%",,153,"14.3%",,0.9,0.36,0.44
"CuVee","Gen.G","Top",24,"38%","50%",43,56,78,2.2,"59.0%","21.0%","23.5%","13%",-18,-50,-4.6,8.4,"24.1%",347,"23.8%",,250,"22.7%",,0.54,0.25,0.28
"Cuzz","Kingzone DragonX","Jungle",39,"69%","56%",104,84,215,3.8,"66.0%","21.5%","21.8%","38%",72,153,3.4,5.5,"14.9%",275,"15.5%",,214,"17.7%",,0.7,0.38,0.55
"Deft","Kingzone DragonX","ADC",39,"69%","49%",141,69,209,5.1,"72.5%","29.2%","17.9%","21%",76,81,4.3,10.1,"30.8%",636,"35.2%",,325,"26.7%",,0.58,0.21,0.44
