"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Roach","Kongdoo Monster","Top",41,"22%","56%",54,94,104,1.7,"54.1%","18.5%","19.7%","10%",-183,-1,-1.7,9,"26.3%",346,"22.3%",,241,"23.3%",,0.65,0.19,0.2
"Ruler","KSV eSports","ADC",44,"50%","48%",114,74,123,3.2,"71.2%","34.2%","16.5%","14%",-22,37,1,11,"31.2%",556,"30.8%",,310,"26.9%",,0.45,0.19,0.64
"Rush","KT Rolster","Jungle",2,"100%","50%",1,3,14,5,"60.0%","4.0%","42.9%","0%",220,63,4.5,4.9,"9.3%",114,"5.4%",,185,"13.2%",,0.68,0.2,0.56
"Sangyoon","ROX Tigers","ADC",45,"49%","53%",117,71,169,4,"69.2%","28.3%","15.6%","11%",-92,-48,-1.3,11.1,"33.3%",520,"28.1%",,318,"27.2%",,0.35,0.08,0.42
"Score","KT Rolster","Jungle",41,"63%","49%",63,69,244,4.4,"77.5%","15.9%","22.0%","51%",37,20,-0.8,5.4,"12.8%",186,"9.9%",,201,"16.3%",,1.4,0.31,0.61
"Secret","Kongdoo Monster","Support",41,"22%","44%",32,103,171,2,"69.5%","11.0%","21.5%","12%",-88,4,0.2,2.1,"6.3%",112,"7.3%",,118,"10.8%",,1.47,0.43,0.37
"SeongHwan","ROX Tigers","Jungle",43,"51%","47%",53,96,267,3.3,"78.6%","13.0%","22.3%","47%",-25,-139,-0.7,4.9,"11.9%",203,"11.1%",,184,"15.5%",,1.61,0.34,0.55
"Smeb","KT Rolster","Top",43,"65%","53%",98,73,187,3.9,"67.7%","23.3%","22.8%","26%",39,-5,0.3,9.2,"25.1%",481,"25.1%",,280,"23.0%",,0.68,0.13,0.24
"SoHwan","Jin Air Green Wings","Top",44,"43%","55%",58,77,178,3.1,"54.8%","13.5%","18.6%","23%",-1,52,3.9,8.9,"24.0%",383,"21.4%",,252,"22.0%",,0.65,0.12,0.17
"Spirit","Kwangdong Freecs","Jungle",31,"68%","55%",45,47,155,4.3,"73.0%","16.4%","21.8%","39%",39,92,0.5,5.8,"12.8%",171,"9.7%",,214,"16.3%",,1.97,0.45,0.8
