MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
0.00,41.00,19.00,56.00,5.10,0.53,0.23,0.12,0.00,-232.00,-26.00,-0.80,10.30,0.33,461.00,0.25,295.00,0.26,0.53,0.20,0.33
100.00,43.00,37.00,106.00,4.00,0.73,0.21,0.21,0.56,-132.00,-87.00,-1.80,6.00,0.16,301.00,0.16,212.00,0.18,0.45,0.35,0.38
0.00,34.00,43.00,56.00,2.10,0.62,0.23,0.16,0.05,-194.00,-181.00,0.30,9.70,0.30,434.00,0.24,265.00,0.26,0.44,0.11,0.37
700.00,126.00,88.00,275.00,4.60,0.66,0.21,0.18,0.20,-1.00,29.00,2.20,8.30,0.22,452.00,0.25,254.00,0.22,0.44,0.21,0.24
100.00,31.00,127.00,331.00,2.90,0.60,0.05,0.25,0.23,67.00,25.00,1.60,1.60,0.05,179.00,0.09,116.00,0.10,1.71,0.54,0.54
500.00,89.00,88.00,270.00,4.10,0.72,0.18,0.18,0.39,-12.00,-103.00,-2.30,6.00,0.17,305.00,0.16,205.00,0.18,0.52,0.37,0.41
500.00,140.00,99.00,199.00,3.40,0.67,0.28,0.22,0.36,118.00,39.00,2.40,8.50,0.26,472.00,0.26,277.00,0.24,0.41,0.24,0.28
1000.00,111.00,74.00,225.00,4.50,0.72,0.24,0.18,0.33,57.00,118.00,2.90,6.10,0.18,406.00,0.19,233.00,0.20,0.43,0.33,0.30
900.00,132.00,81.00,195.00,4.00,0.66,0.27,0.15,0.21,247.00,137.00,9.30,9.50,0.29,491.00,0.26,285.00,0.26,0.41,0.18,0.37
500.00,109.00,84.00,262.00,4.40,0.64,0.19,0.19,0.44,-19.00,-25.00,-3.20,5.60,0.16,272.00,0.15,199.00,0.18,0.55,0.39,0.48
500.00,94.00,118.00,290.00,3.30,0.75,0.18,0.21,0.34,-92.00,-74.00,-1.80,5.50,0.14,327.00,0.18,193.00,0.17,0.37,0.27,0.40
200.00,55.00,54.00,143.00,3.70,0.69,0.19,0.22,0.48,-89.00,-129.00,-3.70,5.90,0.16,330.00,0.18,205.00,0.18,0.67,0.36,0.44
400.00,117.00,101.00,206.00,3.20,0.65,0.24,0.18,0.23,45.00,121.00,3.30,9.30,0.30,552.00,0.30,276.00,0.25,0.54,0.17,0.38
100.00,36.00,113.00,313.00,3.10,0.72,0.08,0.22,0.25,-72.00,-9.00,-3.80,1.30,0.03,127.00,0.07,98.00,0.09,1.77,0.59,0.47
700.00,156.00,76.00,206.00,4.80,0.62,0.27,0.15,0.11,-38.00,-70.00,-2.20,8.80,0.28,555.00,0.27,280.00,0.25,0.56,0.15,0.35
700.00,135.00,119.00,230.00,3.10,0.67,0.25,0.22,0.13,233.00,180.00,7.70,8.60,0.25,502.00,0.27,272.00,0.25,0.44,0.25,0.25
700.00,170.00,96.00,206.00,3.90,0.70,0.32,0.18,0.18,73.00,110.00,-0.20,8.50,0.25,465.00,0.25,263.00,0.24,0.52,0.27,0.29
600.00,128.00,95.00,278.00,4.30,0.77,0.24,0.19,0.48,122.00,112.00,2.80,6.20,0.18,316.00,0.17,211.00,0.19,0.48,0.34,0.48
0.00,51.00,57.00,91.00,2.50,0.55,0.20,0.22,0.29,-207.00,-217.00,-6.10,8.20,0.25,389.00,0.21,256.00,0.23,0.48,0.26,0.22
700.00,25.00,140.00,324.00,2.50,0.68,0.05,0.25,0.21,-104.00,-131.00,-7.00,1.10,0.02,103.00,0.06,94.00,0.08,1.83,0.65,0.42
900.00,100.00,89.00,212.00,3.50,0.61,0.20,0.20,0.25,143.00,24.00,1.60,8.50,0.24,391.00,0.22,262.00,0.23,0.58,0.28,0.29
400.00,120.00,82.00,215.00,4.10,0.65,0.23,0.14,0.23,90.00,40.00,1.30,9.10,0.27,421.00,0.24,277.00,0.25,0.51,0.29,0.24
500.00,103.00,110.00,254.00,3.20,0.67,0.19,0.23,0.30,-104.00,-140.00,-1.40,8.00,0.23,407.00,0.22,237.00,0.22,0.41,0.21,0.29
100.00,112.00,69.00,205.00,4.60,0.68,0.24,0.17,0.21,-54.00,-48.00,-3.70,8.60,0.29,491.00,0.23,279.00,0.24,0.77,0.21,0.35
1100.00,145.00,113.00,213.00,3.20,0.61,0.25,0.22,0.15,-278.00,-170.00,-9.10,8.50,0.26,475.00,0.23,261.00,0.23,0.43,0.24,0.29
200.00,66.00,35.00,108.00,5.00,0.66,0.25,0.14,0.20,129.00,86.00,4.10,10.10,0.32,473.00,0.27,302.00,0.26,0.69,0.26,0.41
