"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Smeb","KT Rolster","Top",42,"69%","71%",95,60,185,4.7,"64.4%","21.8%","16.0%","29%",80,62,2.7,9.4,"27.0%",476,"25.6%",,281,"24.1%",,0.5,0.15,0.18
"SoHwan","Jin Air Green Wings","Top",45,"31%","31%",52,76,139,2.5,"61.4%","16.7%","18.5%","16%",-16,27,-0.7,9,"25.5%",350,"22.7%",,247,"23.6%",,0.52,0.17,0.16
"Spirit","Kwangdong Freecs","Jungle",36,"58%","53%",66,62,191,4.1,"71.4%","18.3%","21.8%","33%",48,82,3.3,5.1,"13.1%",207,"12.8%",,190,"16.6%",,0.69,0.39,0.53
"Sw0rd","Griffin","Top",41,"68%","68%",101,67,187,4.3,"62.2%","21.8%","24.9%","12%",-124,12,-3.8,8.9,"25.0%",407,"23.4%",,269,"22.7%",,0.53,0.15,0.2
"Tarzan","Griffin","Jungle",41,"68%","49%",76,55,282,6.5,"77.3%","16.4%","20.4%","46%",-63,-207,-5.7,5,"13.1%",231,"13.5%",,195,"16.5%",,0.64,0.44,0.48
"Teddy","Jin Air Green Wings","ADC",45,"31%","60%",104,71,114,3.1,"70.1%","33.4%","17.3%","20%",-49,-7,2.1,10.7,"31.7%",498,"31.3%",,290,"27.6%",,0.43,0.14,0.34
"Tempt","bbq Olivers","Middle",43,"21%","44%",95,72,127,3.1,"75.3%","32.2%","16.5%","14%",81,55,3.7,9.5,"27.8%",405,"28.3%",,253,"25.4%",,0.53,0.21,0.18
"Thal","SK Telecom T1","Top",44,"45%","50%",89,100,141,2.3,"58.4%","22.6%","21.9%","20%",27,51,-1.3,9.4,"27.3%",419,"24.0%",,273,"24.2%",,0.47,0.15,0.15
"Trick","bbq Olivers","Jungle",36,"25%","61%",44,81,150,2.4,"77.9%","17.7%","23.7%","25%",-125,-116,-2.4,5,"13.8%",187,"12.8%",,171,"17.3%",,0.35,0.26,0.32
"TusiN","Kwangdong Freecs","Support",46,"57%","52%",35,92,297,3.6,"71.6%","7.5%","24.7%","24%",49,33,2.3,1.9,"5.9%",130,"8.0%",,120,"10.4%",,1.72,0.58,0.4
"ucal","KT Rolster","Middle",42,"69%","36%",114,69,174,4.2,"66.8%","26.5%","18.8%","24%",4,29,-0.1,9.5,"26.6%",442,"23.6%",,279,"24.0%",,0.5,0.2,0.19
"UmTi","Jin Air Green Wings","Jungle",41,"34%","39%",55,89,167,2.5,"74.2%","18.4%","23.9%","46%",-12,-14,-1.5,5,"12.9%",212,"13.6%",,174,"16.6%",,0.74,0.37,0.62
"Viper","Griffin","ADC",41,"68%","49%",104,46,219,7,"69.8%","22.5%","17.1%","32%",17,149,2.6,10.3,"29.6%",470,"27.2%",,302,"25.8%",,0.44,0.13,0.3
"Wolf","SK Telecom T1","Support",6,"0%","50%",2,25,27,1.2,"87.9%","6.1%","27.5%","17%",-101,-284,-3.3,1.3,"3.6%",152,"11.6%",,92,"8.7%",,1.13,0.43,0.42
"Yaharong","Jin Air Green Wings","Middle",44,"32%","64%",80,76,126,2.7,"66.2%","25.7%","18.9%","23%",-7,6,1.2,9.1,"25.4%",381,"25.6%",,243,"23.4%",,0.45,0.18,0.16
