MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
400,79.00,135.00,244.00,2.40,0.61,0.15,0.21,0.22,-17.00,-55.00,-0.30,7.70,0.24,450.00,0.24,236.00,0.21,0.59,0.15,0.17
200,34.00,34.00,69.00,3.00,0.66,0.22,0.26,0.25,-18.00,117.00,7.20,5.70,0.16,323.00,0.16,234.00,0.20,0.84,0.22,0.35
400,145.00,62.00,260.00,6.50,0.63,0.23,0.17,0.07,207.00,90.00,8.20,9.10,0.27,601.00,0.27,295.00,0.23,0.44,0.07,0.18
300,136.00,140.00,233.00,2.60,0.70,0.26,0.22,0.36,-17.00,96.00,3.70,5.60,0.18,331.00,0.17,231.00,0.21,0.78,0.23,0.39
400,74.00,118.00,188.00,2.20,0.60,0.17,0.25,0.32,-152.00,-125.00,0.60,5.10,0.15,259.00,0.15,207.00,0.19,0.71,0.16,0.40
0,29.00,51.00,244.00,5.40,0.66,0.07,0.16,0.11,78.00,57.00,0.50,1.00,0.04,268.00,0.13,148.00,0.12,1.39,0.35,0.50
200,120.00,118.00,204.00,2.70,0.65,0.24,0.21,0.38,25.00,-44.00,-1.20,5.20,0.16,289.00,0.15,221.00,0.20,0.79,0.19,0.37
100,71.00,73.00,195.00,3.60,0.64,0.17,0.16,0.17,-2.00,5.00,2.90,8.10,0.24,368.00,0.21,229.00,0.21,0.57,0.10,0.09
1300,149.00,78.00,176.00,4.20,0.64,0.29,0.21,0.45,215.00,149.00,5.90,9.50,0.28,567.00,0.29,296.00,0.24,0.60,0.17,0.20
200,62.00,78.00,235.00,3.80,0.59,0.12,0.21,0.33,61.00,29.00,0.10,8.10,0.23,378.00,0.20,247.00,0.20,0.52,0.10,0.16
600,120.00,80.00,252.00,4.70,0.63,0.20,0.16,0.18,257.00,103.00,7.10,9.00,0.28,590.00,0.28,280.00,0.23,0.46,0.13,0.28
200,114.00,89.00,153.00,3.00,0.69,0.30,0.16,0.20,-51.00,-13.00,-2.90,9.10,0.29,430.00,0.25,257.00,0.25,0.44,0.13,0.18
600,80.00,111.00,226.00,2.80,0.61,0.16,0.20,0.20,5.00,67.00,1.10,8.20,0.25,407.00,0.21,242.00,0.22,0.47,0.06,0.09
