MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
10,29,34,43,2.1,0.67,0.27,0.24,0.2,-72,35,1.4,8,0.27,478,0.29,229,0.25,0.76,0.12,0.11
600,76,87,268,4,0.72,0.16,0.23,0.38,125,197,3.3,3.4,0.12,229,0.12,182,0.17,0.75,0.1,0.36
0,20,51,67,1.7,0.79,0.18,0.19,0.2,-101,-125,-0.3,2.9,0.1,157,0.1,132,0.16,1.11,0.13,0.37
0,116,68,145,3.8,0.74,0.33,0.17,0.12,-88,22,-1.4,8,0.27,438,0.29,243,0.25,0.31,0.09,0.24
200,152,53,188,6.4,0.7,0.31,0.15,0.06,20,21,1.6,8.8,0.3,547,0.29,290,0.26,0.17,0.05,0.19
200,46,86,219,3.1,0.68,0.12,0.27,0.31,-109,-185,-2.5,2.7,0.08,158,0.09,161,0.15,1.05,0.16,0.35
0,41,86,78,1.4,0.63,0.22,0.24,0.09,-187,-230,-7.1,7,0.27,325,0.21,191,0.24,0.38,0.08,0.13
0,12,68,150,2.4,0.64,0.05,0.22,0.45,-20,174,1,1,0.04,128,0.07,97,0.1,1.28,0.24,0.34
500,71,74,278,4.7,0.78,0.16,0.19,0.48,36,23,0.1,2.8,0.1,162,0.09,161,0.16,1.08,0.16,0.31
300,22,91,277,3.3,0.73,0.05,0.25,0.34,34,-85,-3,0.5,0.03,103,0.06,101,0.1,1.34,0.29,0.36
500,140,70,190,4.7,0.69,0.29,0.19,0.25,107,173,1.7,8.2,0.29,571,0.29,263,0.25,0.27,0.09,0.27
100,34,27,85,4.4,0.68,0.19,0.21,0.17,-19,-109,1.3,8.8,0.33,510,0.27,275,0.27,0.12,0.02,0.16
200,64,115,147,1.8,0.72,0.22,0.23,0.25,-77,-239,-5.3,6.9,0.26,348,0.22,198,0.23,0.46,0.04,0.11
1000,82,86,196,3.2,0.64,0.19,0.18,0.21,137,156,6.1,7.5,0.27,404,0.24,225,0.23,0.3,0.04,0.1
400,58,13,62,9.2,0.71,0.34,0.14,0.25,136,211,5.2,8.6,0.28,533,0.29,272,0.25,0.17,0.07,0.19
100,67,93,151,2.3,0.74,0.23,0.19,0.56,-26,-48,0.9,3.2,0.12,264,0.16,155,0.18,0.8,0.09,0.29
