MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
100.00,92.00,75.00,173.00,3.50,0.66,0.23,0.22,0.19,12.00,44.00,0.30,5.80,0.15,312.00,0.15,211.00,0.18,0.53,0.36,0.48
100.00,152.00,95.00,150.00,3.20,0.59,0.30,0.16,0.24,-67.00,33.00,-2.40,8.90,0.29,411.00,0.22,283.00,0.26,0.76,0.21,0.39
300.00,179.00,104.00,152.00,3.20,0.64,0.35,0.17,0.19,-199.00,-157.00,-4.60,9.30,0.30,431.00,0.22,291.00,0.26,0.44,0.11,0.33
200.00,66.00,105.00,234.00,2.90,0.63,0.14,0.19,0.17,-320.00,-190.00,-8.80,8.30,0.25,416.00,0.22,232.00,0.22,0.52,0.25,0.17
600.00,121.00,64.00,213.00,5.20,0.64,0.23,0.16,0.12,173.00,154.00,6.20,9.20,0.25,508.00,0.28,275.00,0.23,0.48,0.20,0.23
400.00,50.00,150.00,388.00,2.90,0.68,0.08,0.31,0.33,136.00,164.00,4.70,1.70,0.05,219.00,0.10,124.00,0.10,1.54,0.52,0.47
0.00,44.00,41.00,117.00,3.90,0.63,0.17,0.19,0.41,-121.00,-146.00,-3.90,5.80,0.16,275.00,0.14,200.00,0.17,1.01,0.41,0.53
100.00,70.00,71.00,148.00,3.10,0.60,0.19,0.24,0.28,-1.00,4.00,-0.90,8.20,0.25,435.00,0.23,265.00,0.22,0.40,0.19,0.20
700.00,157.00,96.00,289.00,4.60,0.69,0.24,0.20,0.33,146.00,240.00,4.60,7.10,0.20,422.00,0.20,252.00,0.21,0.57,0.31,0.47
1000.00,157.00,79.00,266.00,5.40,0.69,0.26,0.15,0.23,285.00,226.00,7.00,10.00,0.31,589.00,0.28,317.00,0.27,0.51,0.20,0.44
600.00,115.00,76.00,221.00,4.40,0.69,0.24,0.20,0.36,25.00,-101.00,-2.30,6.20,0.15,306.00,0.17,222.00,0.18,0.73,0.38,0.60
400.00,57.00,49.00,122.00,3.70,0.64,0.20,0.18,0.10,135.00,186.00,4.50,9.10,0.26,472.00,0.25,277.00,0.23,0.39,0.13,0.20
500.00,80.00,97.00,229.00,3.20,0.71,0.18,0.20,0.25,41.00,80.00,0.30,5.70,0.15,295.00,0.16,199.00,0.18,0.57,0.34,0.60
100.00,43.00,23.00,113.00,6.80,0.69,0.19,0.16,0.31,32.00,107.00,1.90,6.10,0.17,381.00,0.17,230.00,0.19,0.52,0.31,0.58
400.00,182.00,106.00,218.00,3.80,0.65,0.30,0.20,0.16,56.00,22.00,4.60,8.90,0.28,571.00,0.27,297.00,0.25,0.68,0.15,0.38
100.00,22.00,112.00,257.00,2.50,0.77,0.06,0.24,0.23,-8.00,-34.00,-3.50,1.10,0.03,122.00,0.08,89.00,0.09,1.71,0.53,0.43
400.00,183.00,89.00,141.00,3.60,0.68,0.38,0.16,0.19,165.00,90.00,5.40,9.40,0.31,452.00,0.24,305.00,0.28,0.48,0.15,0.36
500.00,86.00,120.00,215.00,2.50,0.60,0.17,0.21,0.20,49.00,29.00,3.50,8.50,0.25,483.00,0.28,254.00,0.23,0.51,0.24,0.23
200.00,35.00,29.00,60.00,3.30,0.60,0.22,0.17,0.18,-59.00,-39.00,0.30,9.20,0.26,423.00,0.28,261.00,0.24,0.49,0.21,0.27
700.00,151.00,103.00,221.00,3.60,0.73,0.30,0.18,0.60,123.00,43.00,-1.00,6.60,0.20,359.00,0.19,227.00,0.21,0.49,0.35,0.57
100.00,27.00,146.00,270.00,2.00,0.62,0.06,0.26,0.25,-67.00,20.00,1.70,1.10,0.03,121.00,0.07,89.00,0.08,1.68,0.58,0.40
300.00,46.00,36.00,137.00,5.10,0.68,0.17,0.16,0.36,36.00,43.00,1.90,5.90,0.15,253.00,0.15,200.00,0.17,0.65,0.38,0.44
300.00,70.00,40.00,157.00,5.70,0.69,0.21,0.18,0.17,94.00,58.00,1.10,8.10,0.22,464.00,0.25,255.00,0.22,0.45,0.15,0.23
400.00,122.00,71.00,232.00,5.00,0.74,0.25,0.13,0.20,80.00,-74.00,-2.20,9.20,0.28,527.00,0.29,278.00,0.25,0.46,0.22,0.20
100.00,92.00,122.00,235.00,2.70,0.64,0.18,0.21,0.24,-120.00,-95.00,-5.10,8.20,0.24,423.00,0.23,241.00,0.22,0.42,0.21,0.25
400.00,204.00,75.00,225.00,5.70,0.66,0.32,0.15,0.26,-62.00,-44.00,-7.00,8.90,0.29,486.00,0.22,314.00,0.26,0.79,0.22,0.38
100.00,46.00,50.00,83.00,2.60,0.69,0.25,0.19,0.45,-90.00,-246.00,-4.50,6.40,0.17,238.00,0.16,199.00,0.19,0.64,0.31,0.51
100.00,94.00,40.00,76.00,4.30,0.71,0.39,0.18,0.29,188.00,65.00,4.50,10.30,0.34,405.00,0.25,327.00,0.29,0.53,0.20,0.49
