MVP,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,CWPM,WCPM
100.00,69.00,81.00,150.00,2.70,0.52,0.16,0.20,0.14,-41.00,-62.00,-1.50,8.40,0.25,343.00,0.21,246.00,0.22,0.41,0.30,0.30
600.00,154.00,84.00,329.00,5.80,0.70,0.22,0.19,0.44,155.00,208.00,4.30,5.90,0.16,304.00,0.14,232.00,0.19,0.39,0.28,0.40
300.00,66.00,125.00,181.00,2.00,0.67,0.18,0.25,0.26,-98.00,-167.00,-3.40,6.00,0.17,242.00,0.14,191.00,0.19,0.45,0.33,0.61
700.00,103.00,58.00,240.00,5.90,0.68,0.21,0.17,0.40,49.00,35.00,2.50,7.10,0.16,250.00,0.12,219.00,0.18,0.45,0.32,0.42
100.00,15.00,64.00,179.00,3.00,0.71,0.06,0.23,0.33,43.00,73.00,-0.80,0.80,0.02,155.00,0.09,96.00,0.09,1.64,0.52,0.31
400.00,79.00,103.00,212.00,2.80,0.67,0.18,0.22,0.33,-78.00,-64.00,-0.40,6.00,0.15,218.00,0.12,185.00,0.17,0.47,0.41,0.45
800.00,115.00,124.00,171.00,2.30,0.55,0.22,0.23,0.26,112.00,75.00,0.70,8.80,0.27,435.00,0.24,271.00,0.24,0.38,0.22,0.24
200.00,147.00,51.00,191.00,6.60,0.66,0.29,0.15,0.26,5.00,-31.00,0.70,9.90,0.31,585.00,0.28,324.00,0.26,0.48,0.22,0.46
100.00,121.00,75.00,146.00,3.60,0.70,0.32,0.15,0.13,-56.00,-49.00,0.00,10.20,0.35,437.00,0.25,304.00,0.29,0.46,0.15,0.46
600.00,114.00,70.00,211.00,4.60,0.63,0.22,0.17,0.19,129.00,52.00,2.60,8.60,0.25,415.00,0.23,265.00,0.23,0.55,0.22,0.38
200.00,161.00,61.00,198.00,5.90,0.70,0.31,0.14,0.12,-115.00,-63.00,-3.30,9.90,0.34,508.00,0.27,301.00,0.28,0.60,0.22,0.37
300.00,84.00,94.00,233.00,3.40,0.70,0.19,0.21,0.39,41.00,-54.00,-0.90,5.90,0.14,225.00,0.13,186.00,0.17,0.57,0.45,0.51
0.00,37.00,32.00,96.00,4.20,0.67,0.19,0.19,0.14,-74.00,-24.00,-1.10,8.10,0.22,452.00,0.23,243.00,0.21,0.68,0.39,0.29
200.00,29.00,91.00,237.00,2.90,0.73,0.08,0.19,0.13,-10.00,8.00,-1.90,0.90,0.02,168.00,0.10,89.00,0.09,1.66,0.55,0.32
500.00,102.00,67.00,177.00,4.20,0.64,0.23,0.14,0.18,40.00,23.00,4.00,9.00,0.26,483.00,0.25,270.00,0.24,0.41,0.18,0.27
600.00,121.00,99.00,239.00,3.60,0.53,0.18,0.22,0.16,-47.00,-57.00,1.40,8.20,0.25,547.00,0.26,278.00,0.22,0.38,0.17,0.22
